country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Belgium,2017-12-03,490397,12417,22212,6,2.1,2017,12,3
Belgium,2017-12-03,490397,12417,22323,3,4.95,2017,12,3
Belgium,2017-12-03,490397,12417,21935,10,1.65,2017,12,3
Belgium,2017-12-03,490397,12417,22232,8,1.65,2017,12,3
Belgium,2017-12-03,490397,12417,22114,8,3.95,2017,12,3
Belgium,2017-12-03,490397,12417,21430,4,3.75,2017,12,3
Belgium,2017-12-03,490397,12417,22071,6,3.75,2017,12,3
Belgium,2017-12-03,490397,12417,21844,6,2.95,2017,12,3
Belgium,2017-12-03,490397,12417,21212,5,0.55,2017,12,3
Belgium,2017-12-03,490397,12417,22348,12,0.85,2017,12,3
Belgium,2017-12-03,490397,12417,21673,12,1.25,2017,12,3
Belgium,2017-12-03,490397,12417,21672,12,1.25,2017,12,3
Belgium,2017-12-03,490397,12417,82600,12,2.1,2017,12,3
Belgium,2017-12-03,490397,12417,20685,2,6.75,2017,12,3
Belgium,2017-12-03,490397,12417,79000,12,0.85,2017,12,3
Belgium,2017-12-07,491169,12417,22355,10,0.85,2017,12,7
Belgium,2018-01-05,493899,12417,22218,3,4.25,2018,1,5
Belgium,2018-01-05,493899,12417,47587A,10,0.85,2018,1,5
Belgium,2018-01-05,493899,12417,22260,12,0.85,2018,1,5
Belgium,2018-01-05,493899,12417,22263,12,0.85,2018,1,5
Belgium,2018-01-05,493899,12417,79030G,6,1.65,2018,1,5
Belgium,2018-01-05,493899,12417,22304,6,2.55,2018,1,5
Belgium,2018-01-05,493899,12417,21084,12,0.65,2018,1,5
Belgium,2018-01-05,493899,12417,21090,12,0.85,2018,1,5
Belgium,2018-01-05,493899,12417,84520B,12,0.85,2018,1,5
Belgium,2018-01-05,493899,12417,21076,12,0.85,2018,1,5
Belgium,2018-01-05,493899,12417,84533B,4,5.95,2018,1,5
Belgium,2018-01-05,493899,12417,85008,3,4.95,2018,1,5
Belgium,2018-01-05,493899,12417,21428,4,4.25,2018,1,5
Belgium,2018-01-05,493899,12417,85049E,12,1.25,2018,1,5
Belgium,2018-01-05,493899,12417,90059C,6,1.65,2018,1,5
Belgium,2018-01-05,493899,12417,22254,12,1.25,2018,1,5
Belgium,2018-01-05,493899,12417,22243,12,1.65,2018,1,5
Belgium,2018-01-05,493899,12417,85117,8,1.65,2018,1,5
Belgium,2018-01-05,493899,12417,82613D,8,1.25,2018,1,5
Belgium,2018-01-05,493899,12417,85093,12,1.25,2018,1,5
Belgium,2018-01-12,494511,12431,84050,6,1.65,2018,1,12
Belgium,2018-01-12,494511,12431,22133,12,0.85,2018,1,12
Belgium,2018-01-12,494511,12431,84970S,12,0.85,2018,1,12
Belgium,2018-01-12,494511,12431,85086A,12,0.85,2018,1,12
Belgium,2018-01-12,494511,12431,22203,4,3.75,2018,1,12
Belgium,2018-01-12,494511,12431,22243,12,1.65,2018,1,12
Belgium,2018-01-12,494511,12431,22199,4,4.25,2018,1,12
Belgium,2018-01-12,494511,12431,85184D,6,2.95,2018,1,12
Belgium,2018-01-12,494511,12431,21832,12,1.65,2018,1,12
Belgium,2018-01-12,494511,12431,21524,2,6.75,2018,1,12
Belgium,2018-01-12,494511,12431,21444,4,3.75,2018,1,12
Belgium,2018-01-12,494511,12431,85184C,6,2.95,2018,1,12
Belgium,2018-01-12,494511,12431,35001W,6,3.49,2018,1,12
Belgium,2018-01-12,494511,12431,21481,6,2.95,2018,1,12
Belgium,2018-01-12,494511,12431,84843,2,5.95,2018,1,12
Belgium,2018-01-12,494511,12431,21791,12,1.25,2018,1,12
Belgium,2018-01-12,494511,12431,35809B,6,2.1,2018,1,12
Belgium,2018-01-12,494511,12431,35241,3,4.95,2018,1,12
Belgium,2018-01-12,494511,12431,22098,12,1.25,2018,1,12
Belgium,2018-01-12,494511,12431,79191C,12,0.85,2018,1,12
Belgium,2018-01-12,494511,12431,22255,12,0.85,2018,1,12
Belgium,2018-01-12,494511,12431,21432,6,5.95,2018,1,12
Belgium,2018-01-12,494511,12431,22331,8,1.65,2018,1,12
Belgium,2018-01-12,494511,12431,21058,12,0.85,2018,1,12
Belgium,2018-01-12,494511,12431,21085,12,0.65,2018,1,12
Belgium,2018-01-12,494511,12431,21249,6,2.95,2018,1,12
Belgium,2018-01-12,494511,12431,21077,12,0.85,2018,1,12
Belgium,2018-01-12,494511,12431,21424,6,2.95,2018,1,12
Belgium,2018-01-12,494511,12431,20719,10,0.85,2018,1,12
Belgium,2018-01-12,494511,12431,84815,3,4.25,2018,1,12
Belgium,2018-01-12,494511,12431,21559,12,2.55,2018,1,12
Belgium,2018-01-12,494511,12431,21091,12,0.85,2018,1,12
Belgium,2018-01-12,494511,12431,22132,12,0.85,2018,1,12
Belgium,2018-01-12,494511,12431,35810B,6,2.1,2018,1,12
Belgium,2018-01-12,494511,12431,35961,12,0.85,2018,1,12
Belgium,2018-01-12,494511,12431,17108D,16,0.42,2018,1,12
Belgium,2018-01-12,494511,12431,40018F,5,1.9500000000000002,2018,1,12
Belgium,2018-01-12,494511,12431,20661,6,2.95,2018,1,12
Belgium,2018-01-12,494511,12431,20665,12,2.95,2018,1,12
Belgium,2018-01-12,494511,12431,85014B,6,5.95,2018,1,12
Belgium,2018-01-12,494511,12431,85099B,10,1.9500000000000002,2018,1,12
Belgium,2018-01-12,494511,12431,85232A,3,4.95,2018,1,12
Belgium,2018-01-12,494511,12431,85014A,6,5.95,2018,1,12
Belgium,2018-01-12,494511,12431,85014D,6,5.95,2018,1,12
Belgium,2018-01-12,494511,12431,22352,12,2.55,2018,1,12
Belgium,2018-01-12,494511,12431,22073,4,3.75,2018,1,12
Belgium,2018-01-12,494511,12431,21216,4,4.95,2018,1,12
Belgium,2018-01-12,494511,12431,21212,5,0.55,2018,1,12
Belgium,2018-01-12,494511,12431,21157,6,2.1,2018,1,12
Belgium,2018-01-12,494511,12431,21121,21,1.25,2018,1,12
Belgium,2018-01-12,494511,12431,84279B,4,3.75,2018,1,12
Belgium,2018-01-12,494511,12431,84970L,12,0.9500000000000001,2018,1,12
Belgium,2018-01-23,495719,12361,22352,6,2.55,2018,1,23
Belgium,2018-01-23,495719,12361,20725,10,1.65,2018,1,23
Belgium,2018-01-23,495719,12361,21561,6,2.55,2018,1,23
Belgium,2018-01-23,495719,12361,20728,10,1.65,2018,1,23
Belgium,2018-01-23,495719,12361,22353,6,2.55,2018,1,23
Belgium,2018-01-23,495719,12361,21559,6,2.55,2018,1,23
