country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Brazil,2018-09-18,523305,12751,21774,1,1.25,2018,9,18
Brazil,2018-09-18,523305,12751,82482,3,2.55,2018,9,18
Brazil,2018-09-18,523305,12751,17107D,1,2.55,2018,9,18
Brazil,2018-09-18,523305,12751,22082,1,1.65,2018,9,18
Brazil,2018-09-18,523305,12751,21866,1,1.25,2018,9,18
Brazil,2018-09-18,523305,12751,22077,4,1.65,2018,9,18
Brazil,2018-09-18,523305,12751,62018,1,1.9500000000000002,2018,9,18
Brazil,2018-09-18,523305,12751,20669,2,1.25,2018,9,18
Brazil,2018-09-18,523305,12751,35819B,3,1.25,2018,9,18
Brazil,2018-09-18,523305,12751,22336,3,0.65,2018,9,18
Brazil,2018-09-18,523305,12751,22156,3,0.85,2018,9,18
Brazil,2018-09-18,523305,12751,21811,4,1.25,2018,9,18
Brazil,2018-09-18,523305,12751,84879,6,1.69,2018,9,18
Brazil,2018-09-18,523305,12751,21812,2,4.95,2018,9,18
Brazil,2018-09-18,523305,12751,22335,7,0.65,2018,9,18
Brazil,2018-09-18,523305,12751,22219,3,0.85,2018,9,18
Brazil,2018-09-18,523305,12751,21864,1,2.1,2018,9,18
Brazil,2018-09-18,523305,12751,85062,6,1.65,2018,9,18
Brazil,2018-09-18,523305,12751,84970S,12,0.85,2018,9,18
Brazil,2018-09-18,523305,12751,22178,6,1.25,2018,9,18
Brazil,2018-09-18,523305,12751,21900,1,0.65,2018,9,18
Brazil,2018-09-18,523305,12751,21901,1,0.65,2018,9,18
Brazil,2018-09-18,523305,12751,84832,3,0.85,2018,9,18
Brazil,2018-09-18,523305,12751,21166,2,1.9500000000000002,2018,9,18
Brazil,2018-09-18,523305,12751,22412,1,2.1,2018,9,18
Brazil,2018-09-18,523305,12751,22115,3,2.95,2018,9,18
Brazil,2018-09-18,523305,12751,21679,1,0.85,2018,9,18
Brazil,2018-09-18,523305,12751,84991,2,0.55,2018,9,18
Brazil,2018-09-18,523305,12751,22336,4,0.65,2018,9,18
Brazil,2018-09-18,523305,12751,85124B,2,2.55,2018,9,18
Brazil,2018-09-18,523305,12751,85124C,2,2.55,2018,9,18
Brazil,2018-09-18,523305,12751,84849A,1,1.69,2018,9,18
Brazil,2018-09-18,523305,12751,20839,6,2.95,2018,9,18
Brazil,2018-09-18,523305,12751,85017B,3,0.85,2018,9,18
Brazil,2018-09-18,523305,12751,21190,1,1.65,2018,9,18
Brazil,2018-09-18,523305,12751,22088,1,2.95,2018,9,18
Brazil,2018-09-18,523305,12751,84987,1,1.45,2018,9,18
Brazil,2018-09-18,523305,12751,21210,1,1.45,2018,9,18
Brazil,2018-09-18,523305,12751,22337,5,0.65,2018,9,18
Brazil,2018-09-18,523305,12751,22338,4,0.65,2018,9,18
Brazil,2018-09-18,523305,12751,22339,5,0.65,2018,9,18
Brazil,2018-09-18,523305,12751,22164,2,2.95,2018,9,18
Brazil,2018-09-18,523305,12751,22604,2,2.55,2018,9,18
Brazil,2018-09-18,523305,12751,85024B,2,1.65,2018,9,18
Brazil,2018-09-18,523305,12751,85023B,2,2.55,2018,9,18
Brazil,2018-09-18,523305,12751,21324,3,2.95,2018,9,18
Brazil,2018-09-18,523305,12751,82001S,1,3.75,2018,9,18
Brazil,2018-09-18,523305,12751,17084P,11,0.21,2018,9,18
Brazil,2018-09-18,523305,12751,84406B,1,3.25,2018,9,18
Brazil,2018-09-18,523305,12751,17091A,1,1.25,2018,9,18
Brazil,2018-09-18,523305,12751,21124,1,1.25,2018,9,18
Brazil,2018-09-18,523305,12751,21123,1,1.25,2018,9,18
Brazil,2018-09-18,523305,12751,21121,1,1.25,2018,9,18
Brazil,2018-09-18,523305,12751,22028,12,0.42,2018,9,18
Brazil,2018-09-18,523305,12751,22630,1,1.9500000000000002,2018,9,18
Brazil,2018-09-18,523305,12751,85123A,3,2.95,2018,9,18
Brazil,2018-09-18,523305,12751,22372,4,4.25,2018,9,18
Brazil,2018-09-18,523305,12751,22951,1,0.55,2018,9,18
Brazil,2018-09-18,523305,12751,21212,2,0.55,2018,9,18
Brazil,2018-09-18,523305,12751,22659,1,1.9500000000000002,2018,9,18
Brazil,2019-04-12,550201,12769,22488,12,1.65,2019,4,12
Brazil,2019-04-12,550201,12769,22699,2,2.55,2019,4,12
Brazil,2019-04-12,550201,12769,22697,13,2.55,2019,4,12
Brazil,2019-04-12,550201,12769,84971S,13,0.85,2019,4,12
Brazil,2019-04-12,550201,12769,21260,6,3.25,2019,4,12
Brazil,2019-04-12,550201,12769,22494,12,1.25,2019,4,12
Brazil,2019-04-12,550201,12769,23178,6,2.89,2019,4,12
Brazil,2019-04-12,550201,12769,23179,6,2.89,2019,4,12
Brazil,2019-04-12,550201,12769,22993,12,1.25,2019,4,12
Brazil,2019-04-12,550201,12769,21770,10,4.95,2019,4,12
Brazil,2019-04-12,550201,12769,21181,12,2.1,2019,4,12
Brazil,2019-04-12,550201,12769,21166,12,2.08,2019,4,12
Brazil,2019-04-12,550201,12769,22382,10,1.65,2019,4,12
Brazil,2019-04-12,550201,12769,22629,12,1.9500000000000002,2019,4,12
Brazil,2019-04-12,550201,12769,22662,10,1.65,2019,4,12
Brazil,2019-04-12,550201,12769,22630,2,1.9500000000000002,2019,4,12
