country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Channel Islands,2017-12-01,490145,14564,84879,2,1.69,2017,12,1
Channel Islands,2017-12-01,490145,14564,84945,12,0.85,2017,12,1
Channel Islands,2017-12-01,490145,14564,20685,6,6.75,2017,12,1
Channel Islands,2017-12-01,490145,14564,22102,6,1.65,2017,12,1
Channel Islands,2017-12-01,490145,14564,21639,15,0.85,2017,12,1
Channel Islands,2017-12-01,490145,14564,21647,15,2.1,2017,12,1
Channel Islands,2017-12-01,490145,14564,21735,2,12.75,2017,12,1
Channel Islands,2017-12-01,490145,14564,72008,12,0.42,2017,12,1
Channel Islands,2017-12-01,490145,14564,21955,4,6.75,2017,12,1
Channel Islands,2017-12-01,490145,14564,22139,6,4.95,2017,12,1
Channel Islands,2017-12-01,490145,14564,20686,6,3.25,2017,12,1
Channel Islands,2017-12-01,490145,14564,21588,12,2.55,2017,12,1
Channel Islands,2017-12-01,490145,14564,21589,12,2.55,2017,12,1
Channel Islands,2017-12-01,490145,14564,21592,14,1.25,2017,12,1
Channel Islands,2017-12-01,490145,14564,21621,6,8.5,2017,12,1
Channel Islands,2017-12-01,490145,14564,21622,4,4.95,2017,12,1
Channel Islands,2017-12-01,490145,14564,22138,6,4.95,2017,12,1
Channel Islands,2017-12-01,490145,14564,22299,23,1.25,2017,12,1
Channel Islands,2017-12-01,490145,14564,22128,12,1.25,2017,12,1
Channel Islands,2017-12-01,490145,14564,22127,17,1.25,2017,12,1
Channel Islands,2017-12-01,490145,14564,22130,7,0.85,2017,12,1
Channel Islands,2017-12-01,490145,14564,22222,6,4.95,2017,12,1
Channel Islands,2017-12-01,490145,14564,22220,4,9.95,2017,12,1
Channel Islands,2017-12-01,490145,14564,22215,4,8.5,2017,12,1
Channel Islands,2017-12-01,490145,14564,22223,3,4.95,2017,12,1
Channel Islands,2017-12-01,490145,14564,22348,12,0.85,2017,12,1
Channel Islands,2017-12-01,490145,14564,22198,12,1.65,2017,12,1
Channel Islands,2017-12-01,490145,14564,21212,13,0.55,2017,12,1
Channel Islands,2017-12-01,490145,14564,22218,6,4.25,2017,12,1
Channel Islands,2017-12-01,490145,14564,85014A,3,5.95,2017,12,1
Channel Islands,2017-12-01,490145,14564,85014B,6,5.95,2017,12,1
Channel Islands,2017-12-01,490145,14564,22324,3,4.95,2017,12,1
Channel Islands,2017-12-01,490145,14564,22323,3,4.95,2017,12,1
Channel Islands,2017-12-01,490145,14564,22179,6,6.75,2017,12,1
Channel Islands,2017-12-01,490145,14564,21187,12,1.65,2017,12,1
Channel Islands,2017-12-01,490145,14564,22049,10,0.42,2017,12,1
Channel Islands,2017-12-01,490145,14564,22187,8,4.25,2017,12,1
Channel Islands,2017-12-01,490145,14564,85033G,12,1.9500000000000002,2017,12,1
Channel Islands,2017-12-01,490145,14564,85033S,12,1.9500000000000002,2017,12,1
Channel Islands,2017-12-07,491208,14564,22215,1,8.5,2017,12,7
Channel Islands,2017-12-07,491208,14564,22200,4,4.25,2017,12,7
Channel Islands,2017-12-07,491208,14564,21735,2,12.75,2017,12,7
Channel Islands,2018-01-15,494780,14442,21735,2,12.75,2018,1,15
Channel Islands,2018-01-15,494780,14442,21304,2,12.75,2018,1,15
Channel Islands,2018-01-15,494780,14442,21418,6,2.55,2018,1,15
Channel Islands,2018-01-15,494780,14442,22282,4,12.75,2018,1,15
Channel Islands,2018-01-15,494780,14442,22283,4,7.95,2018,1,15
Channel Islands,2018-01-15,494780,14442,84991,14,0.55,2018,1,15
Channel Islands,2018-01-15,494780,14442,22180,4,9.95,2018,1,15
Channel Islands,2018-01-15,494780,14442,37503,12,9.95,2018,1,15
Channel Islands,2018-01-15,494780,14442,21447,12,1.25,2018,1,15
Channel Islands,2018-01-15,494780,14442,20991,13,0.65,2018,1,15
Channel Islands,2018-01-15,494780,14442,21704,12,0.85,2018,1,15
Channel Islands,2018-01-15,494780,14442,85196,12,0.55,2018,1,15
Channel Islands,2018-01-15,494780,14442,21437,12,3.75,2018,1,15
Channel Islands,2018-01-15,494780,14442,21377,6,1.65,2018,1,15
Channel Islands,2018-01-15,494780,14442,21340,4,12.75,2018,1,15
Channel Islands,2018-01-15,494780,14442,84839,4,6.75,2018,1,15
Channel Islands,2018-01-15,494780,14442,21638,12,2.1,2018,1,15
Channel Islands,2018-01-15,494780,14442,21656,6,1.45,2018,1,15
Channel Islands,2018-01-15,494780,14442,37500,2,9.95,2018,1,15
Channel Islands,2018-01-15,494780,14442,21755,6,5.95,2018,1,15
Channel Islands,2018-01-15,494780,14442,85066,2,12.75,2018,1,15
Channel Islands,2018-01-15,494780,14442,82494L,6,2.95,2018,1,15
