country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Czech Republic,2019-02-25,545072,12781,22244,12,1.9500000000000002,2019,2,25
Czech Republic,2019-02-25,545072,12781,85206A,16,1.65,2019,2,25
Czech Republic,2019-02-25,545072,12781,47594B,4,1.9500000000000002,2019,2,25
Czech Republic,2019-02-25,545072,12781,22587,19,0.85,2019,2,25
Czech Republic,2019-02-25,545072,12781,22326,6,2.95,2019,2,25
Czech Republic,2019-02-25,545072,12781,20972,7,1.25,2019,2,25
Czech Republic,2019-02-25,545072,12781,84459A,19,1.49,2019,2,25
Czech Republic,2019-02-25,545072,12781,22250,7,0.85,2019,2,25
Czech Republic,2019-02-25,545072,12781,22231,2,1.45,2019,2,25
Czech Republic,2019-02-25,545072,12781,21791,12,1.25,2019,2,25
Czech Republic,2019-02-25,545072,12781,22216,1,0.85,2019,2,25
Czech Republic,2019-02-25,545072,12781,84755,14,0.65,2019,2,25
Czech Republic,2019-02-25,545072,12781,22930,21,2.55,2019,2,25
Czech Republic,2019-03-29,548667,12781,84459A,2,1.49,2019,3,29
Czech Republic,2019-03-29,548667,12781,22231,4,1.45,2019,3,29
