country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
EIRE,2017-11-28,489520,14911,35751C,12,0.75,2017,11,28
EIRE,2017-11-28,489520,14911,72739B,12,1.25,2017,11,28
EIRE,2017-11-28,489520,14911,22114,8,3.95,2017,11,28
EIRE,2017-11-28,489520,14911,22212,6,2.1,2017,11,28
EIRE,2017-11-28,489520,14911,21523,2,6.75,2017,11,28
EIRE,2017-11-28,489520,14911,48187,2,6.75,2017,11,28
EIRE,2017-11-28,489520,14911,48195,2,6.75,2017,11,28
EIRE,2017-11-28,489520,14911,72741,6,1.45,2017,11,28
EIRE,2017-11-28,489520,14911,85232D,3,4.95,2017,11,28
EIRE,2017-11-28,489520,14911,20828,6,2.55,2017,11,28
EIRE,2017-11-28,489520,14911,22080,10,1.65,2017,11,28
EIRE,2017-11-28,489520,14911,22082,10,1.65,2017,11,28
EIRE,2017-11-28,489520,14911,21754,6,5.95,2017,11,28
EIRE,2017-11-28,489520,14911,21784,4,9.95,2017,11,28
EIRE,2017-11-28,489520,14911,21172,12,1.45,2017,11,28
EIRE,2017-11-28,489520,14911,21181,6,2.1,2017,11,28
EIRE,2017-11-28,489520,14911,82600,12,2.1,2017,11,28
EIRE,2017-11-28,489520,14911,21842,11,2.55,2017,11,28
EIRE,2017-11-28,489520,14911,22089,6,2.95,2017,11,28
EIRE,2017-11-28,489520,14911,21430,4,3.75,2017,11,28
EIRE,2017-11-28,489520,14911,20734,10,0.85,2017,11,28
EIRE,2017-11-28,489520,14911,21133,12,1.69,2017,11,28
EIRE,2017-11-28,489520,14911,35071,12,0.85,2017,11,28
EIRE,2017-11-28,489520,14911,22083,6,2.95,2017,11,28
EIRE,2017-11-28,489520,14911,22121,3,5.95,2017,11,28
EIRE,2017-11-28,489520,14911,21485,3,4.95,2017,11,28
EIRE,2017-11-28,489520,14911,84836,12,1.25,2017,11,28
EIRE,2017-11-28,489520,14911,22122,12,2.95,2017,11,28
EIRE,2017-11-28,489520,14911,22086,6,2.95,2017,11,28
EIRE,2017-11-28,489546,14156,84050,6,1.65,2017,11,28
EIRE,2017-11-28,489546,14156,47568,6,2.1,2017,11,28
EIRE,2017-11-28,489546,14156,21232,12,1.25,2017,11,28
EIRE,2017-11-28,489546,14156,21231,12,1.25,2017,11,28
EIRE,2017-11-28,489546,14156,22186,6,2.95,2017,11,28
EIRE,2017-11-28,489550,14156,21637,5,1.25,2017,11,28
