country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
European Community,2019-04-23,551013,15108,22722,4,3.95,2019,4,23
European Community,2019-04-23,551013,15108,22424,1,12.75,2019,4,23
European Community,2019-04-23,551013,15108,22843,2,6.75,2019,4,23
European Community,2019-04-23,551013,15108,22842,2,6.75,2019,4,23
European Community,2019-04-23,551013,15108,22312,6,2.95,2019,4,23
European Community,2019-04-23,551013,15108,22314,6,2.95,2019,4,23
European Community,2019-04-23,551013,15108,22457,6,2.95,2019,4,23
European Community,2019-04-23,551013,15108,22841,2,7.95,2019,4,23
European Community,2019-04-23,551013,15108,22840,2,7.95,2019,4,23
European Community,2019-06-02,555542,15108,22960,6,4.25,2019,6,2
European Community,2019-06-02,555542,15108,22319,12,0.65,2019,6,2
European Community,2019-06-02,555542,15108,22843,6,6.75,2019,6,2
European Community,2019-06-02,555542,15108,22842,6,6.75,2019,6,2
European Community,2019-06-02,555542,15108,22311,6,2.95,2019,6,2
European Community,2019-06-02,555542,15108,22453,6,2.95,2019,6,2
European Community,2019-06-02,555542,15108,22452,6,2.95,2019,6,2
European Community,2019-06-02,555542,15108,22961,12,1.45,2019,6,2
European Community,2019-06-02,555542,15108,22193,2,8.5,2019,6,2
European Community,2019-06-02,555542,15108,22721,3,4.95,2019,6,2
European Community,2019-06-02,555542,15108,22841,2,7.95,2019,6,2
European Community,2019-06-02,555542,15108,22840,2,7.95,2019,6,2
European Community,2019-06-02,555542,15108,22312,6,2.95,2019,6,2
European Community,2019-06-02,555542,15108,23111,2,12.5,2019,6,2
European Community,2019-06-02,555542,15108,22314,12,2.95,2019,6,2
European Community,2019-06-02,555542,15108,21677,12,0.85,2019,6,2
European Community,2019-06-02,555542,15108,21675,12,0.85,2019,6,2
European Community,2019-06-02,555542,15108,21676,12,0.85,2019,6,2
European Community,2019-06-07,556294,15108,22960,1,4.25,2019,6,7
European Community,2019-07-18,560783,15108,85035C,8,4.25,2019,7,18
European Community,2019-07-18,560783,15108,85036B,12,4.25,2019,7,18
European Community,2019-07-18,560783,15108,72807C,12,4.25,2019,7,18
European Community,2019-07-18,560783,15108,21098,12,1.25,2019,7,18
European Community,2019-07-18,560783,15108,23265,12,1.25,2019,7,18
European Community,2019-07-18,560783,15108,23264,12,1.25,2019,7,18
European Community,2019-07-18,560783,15108,23270,12,1.45,2019,7,18
European Community,2019-07-18,560783,15108,23268,12,1.45,2019,7,18
European Community,2019-07-18,560783,15108,23212,12,1.25,2019,7,18
European Community,2019-07-18,560783,15108,23211,12,1.25,2019,7,18
European Community,2019-07-18,560783,15108,23210,18,1.25,2019,7,18
European Community,2019-07-18,560783,15108,22571,16,0.85,2019,7,18
European Community,2019-07-18,560783,15108,23020,1,12.5,2019,7,18
European Community,2019-07-18,560783,15108,23308,21,0.55,2019,7,18
European Community,2019-07-18,560783,15108,23213,12,1.25,2019,7,18
European Community,2019-07-18,560783,15108,23307,14,0.55,2019,7,18
European Community,2019-07-18,560783,15108,23239,6,4.15,2019,7,18
European Community,2019-07-18,560783,15108,22449,6,3.35,2019,7,18
European Community,2019-07-18,560783,15108,85132C,12,1.9500000000000002,2019,7,18
European Community,2019-07-18,560783,15108,22720,6,4.95,2019,7,18
European Community,2019-07-18,560783,15108,22904,6,2.95,2019,7,18
European Community,2019-07-18,560783,15108,22453,6,2.95,2019,7,18
European Community,2019-07-18,560783,15108,22452,6,2.95,2019,7,18
European Community,2019-07-18,560783,15108,22448,6,3.35,2019,7,18
European Community,2019-07-18,560783,15108,22447,6,3.35,2019,7,18
European Community,2019-07-18,560783,15108,22446,6,3.35,2019,7,18
European Community,2019-07-18,560783,15108,23243,4,4.95,2019,7,18
