country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Finland,2017-12-10,491649,12664,84997A,18,3.75,2017,12,10
Finland,2017-12-10,491649,12664,84997C,8,3.75,2017,12,10
Finland,2017-12-10,491649,12664,84997D,3,3.39,2017,12,10
Finland,2018-01-12,494619,12631,21754,6,5.95,2018,1,12
Finland,2018-01-12,494619,12631,20724,10,0.85,2018,1,12
Finland,2018-01-12,494619,12631,21432,4,5.95,2018,1,12
Finland,2018-01-12,494619,12631,20682,6,3.25,2018,1,12
Finland,2018-01-12,494619,12631,21210,12,1.45,2018,1,12
Finland,2018-01-12,494619,12631,21238,8,0.85,2018,1,12
Finland,2018-01-12,494619,12631,21242,8,1.69,2018,1,12
Finland,2018-01-12,494619,12631,21673,12,1.25,2018,1,12
Finland,2018-01-12,494619,12631,85014B,12,5.95,2018,1,12
Finland,2018-01-12,494619,12631,21212,17,0.55,2018,1,12
Finland,2018-01-12,494619,12631,20681,6,3.25,2018,1,12
Finland,2018-01-12,494619,12631,22356,10,0.85,2018,1,12
Finland,2018-01-12,494619,12631,22195,12,1.65,2018,1,12
Finland,2018-01-12,494619,12631,85014D,6,5.95,2018,1,12
Finland,2018-01-12,494619,12631,21240,8,0.85,2018,1,12
Finland,2018-01-12,494619,12631,21241,8,0.85,2018,1,12
Finland,2018-01-12,494619,12631,21243,8,1.69,2018,1,12
Finland,2018-01-12,494619,12631,21244,8,1.69,2018,1,12
Finland,2018-01-12,494619,12631,21245,8,1.69,2018,1,12
Finland,2018-01-12,494619,12631,84997B,6,3.75,2018,1,12
Finland,2018-01-12,494619,12631,84997C,6,3.75,2018,1,12
Finland,2018-01-12,494619,12631,84997D,6,3.75,2018,1,12
Finland,2018-01-12,494619,12631,21791,12,1.25,2018,1,12
Finland,2018-01-12,494619,12631,22139,6,4.95,2018,1,12
Finland,2018-01-12,494619,12631,22138,6,4.95,2018,1,12
Finland,2018-01-12,494619,12631,21216,4,4.95,2018,1,12
Finland,2018-01-12,494619,12631,21527,4,7.95,2018,1,12
Finland,2018-01-12,494619,12631,22073,4,3.75,2018,1,12
Finland,2018-01-12,494619,12631,20665,6,2.95,2018,1,12
Finland,2018-01-12,494619,12631,22196,12,0.85,2018,1,12
Finland,2018-04-18,505338,12631,22467,6,2.55,2018,4,18
Finland,2018-04-18,505337,12631,22450,6,3.35,2018,4,18
Finland,2018-04-18,505337,12631,22449,6,3.35,2018,4,18
Finland,2018-04-18,505337,12631,22446,6,3.35,2018,4,18
Finland,2018-04-18,505337,12631,85099B,10,1.9500000000000002,2018,4,18
Finland,2018-04-18,505337,12631,84997B,6,3.75,2018,4,18
Finland,2018-04-18,505337,12631,84997C,6,3.75,2018,4,18
Finland,2018-04-18,505337,12631,22356,10,0.85,2018,4,18
Finland,2018-04-18,505337,12631,22139,6,4.95,2018,4,18
Finland,2018-04-18,505337,12631,22073,8,3.75,2018,4,18
Finland,2018-04-18,505337,12631,21241,10,0.85,2018,4,18
Finland,2018-04-18,505337,12631,21239,21,0.85,2018,4,18
Finland,2018-04-18,505337,12631,21238,4,0.85,2018,4,18
Finland,2018-04-18,505337,12631,22378,10,2.1,2018,4,18
Finland,2018-04-18,505337,12631,20754,6,2.1,2018,4,18
Finland,2018-04-18,505337,12631,20750,4,7.95,2018,4,18
Finland,2018-04-18,505337,12631,20724,10,0.85,2018,4,18
Finland,2018-04-18,505337,12631,20718,10,1.25,2018,4,18
Finland,2018-04-18,505337,12631,22196,12,0.85,2018,4,18
Finland,2018-04-18,505337,12631,22191,2,8.5,2018,4,18
Finland,2018-04-18,505337,12631,22192,2,8.5,2018,4,18
Finland,2018-04-18,505337,12631,21833,12,1.69,2018,4,18
Finland,2018-04-18,505337,12631,21826,12,1.25,2018,4,18
Finland,2018-04-18,505337,12631,21731,12,1.65,2018,4,18
Finland,2018-04-18,505337,12631,21915,12,1.25,2018,4,18
Finland,2018-04-18,505337,12631,21914,12,1.25,2018,4,18
Finland,2018-04-18,505337,12631,22117,6,2.95,2018,4,18
Finland,2018-04-18,505337,12631,22413,6,2.95,2018,4,18
Finland,2018-04-18,505337,12631,84691,12,0.85,2018,4,18
Finland,2018-04-18,505337,12631,20719,10,0.85,2018,4,18
Finland,2018-04-18,505337,12631,21432,4,5.95,2018,4,18
Finland,2018-04-18,505337,12631,22195,12,1.65,2018,4,18
Finland,2018-04-18,505337,12631,22133,12,0.85,2018,4,18
Finland,2018-04-18,505337,12631,22549,12,1.45,2018,4,18
Finland,2018-04-18,505337,12631,22386,10,1.9500000000000002,2018,4,18
Finland,2018-04-18,505337,12631,21439,12,1.25,2018,4,18
Finland,2018-04-18,505337,12631,84997D,6,3.75,2018,4,18
Finland,2018-04-18,505337,12631,84997A,6,3.75,2018,4,18
Finland,2018-04-18,505337,12631,20682,6,3.25,2018,4,18
Finland,2018-04-18,505337,12631,22505,4,4.95,2018,4,18
Finland,2018-04-18,505337,12631,22433,6,1.9500000000000002,2018,4,18
Finland,2018-04-18,505337,12631,22432,6,1.9500000000000002,2018,4,18
Finland,2018-04-18,505337,12631,22522,12,0.85,2018,4,18
Finland,2018-04-18,505337,12631,22523,12,0.85,2018,4,18
Finland,2018-04-18,505337,12631,22524,12,1.25,2018,4,18
Finland,2018-04-18,505337,12631,22525,12,1.25,2018,4,18
Finland,2018-04-18,505337,12631,22518,6,2.1,2018,4,18
Finland,2018-04-18,505337,12631,22520,12,0.85,2018,4,18
Finland,2018-04-18,505337,12631,22521,12,0.85,2018,4,18
Finland,2018-04-18,505337,12631,22519,6,2.1,2018,4,18
Finland,2018-04-18,505337,12631,85232B,3,4.95,2018,4,18
Finland,2018-04-18,505337,12631,22138,6,4.95,2018,4,18
Finland,2018-04-18,505317,12588,22196,12,0.85,2018,4,18
Finland,2018-04-18,505317,12588,21212,6,0.55,2018,4,18
Finland,2018-04-18,505317,12588,21977,10,0.55,2018,4,18
Finland,2018-04-18,505317,12588,84987,12,1.45,2018,4,18
Finland,2018-04-18,505317,12588,22215,2,8.5,2018,4,18
Finland,2018-04-18,505317,12588,22218,3,4.25,2018,4,18
Finland,2018-04-18,505317,12588,21700,12,0.85,2018,4,18
Finland,2018-04-18,505317,12588,21210,12,1.45,2018,4,18
Finland,2018-04-18,505317,12588,85232B,3,4.95,2018,4,18
Finland,2018-04-18,505317,12588,22617,5,4.95,2018,4,18
Finland,2018-04-18,505317,12588,22138,5,4.95,2018,4,18
Finland,2018-04-18,505317,12588,47591D,8,1.9500000000000002,2018,4,18
Finland,2018-04-18,505317,12588,21156,8,1.9500000000000002,2018,4,18
Finland,2018-04-18,505317,12588,22367,8,1.9500000000000002,2018,4,18
Finland,2018-04-18,505317,12588,22333,8,1.65,2018,4,18
Finland,2018-05-01,506814,12588,22138,3,4.95,2018,5,1
Finland,2018-05-01,506814,12588,85232B,1,4.95,2018,5,1
Finland,2018-05-08,507687,12582,22377,5,2.1,2018,5,8
Finland,2018-05-08,507687,12582,22138,3,4.95,2018,5,8
Finland,2018-05-08,507687,12582,21531,12,2.55,2018,5,8
Finland,2018-05-08,507687,12582,21393,6,2.1,2018,5,8
Finland,2018-05-08,507687,12582,21392,6,2.1,2018,5,8
Finland,2018-05-08,507687,12582,21394,6,1.9500000000000002,2018,5,8
Finland,2018-05-08,507687,12582,21244,8,1.69,2018,5,8
Finland,2018-05-08,507687,12582,21243,8,1.69,2018,5,8
Finland,2018-05-08,507687,12582,21242,8,1.69,2018,5,8
Finland,2018-05-08,507687,12582,21240,8,0.85,2018,5,8
Finland,2018-05-08,507687,12582,21239,8,0.85,2018,5,8
Finland,2018-05-08,507687,12582,21238,8,0.85,2018,5,8
Finland,2018-05-08,507687,12582,20754,6,2.1,2018,5,8
Finland,2018-05-08,507687,12582,20677,8,1.25,2018,5,8
Finland,2018-05-08,507687,12582,20676,8,1.25,2018,5,8
Finland,2018-05-08,507687,12582,20675,8,1.25,2018,5,8
Finland,2018-05-08,507687,12582,84279P,4,3.75,2018,5,8
Finland,2018-05-08,507687,12582,21395,6,1.9500000000000002,2018,5,8
Finland,2018-05-08,507687,12582,84279B,4,3.75,2018,5,8
Finland,2018-05-08,507687,12582,22405,12,1.25,2018,5,8
Finland,2018-05-08,507687,12582,22528,12,1.25,2018,5,8
Finland,2018-05-08,507687,12582,22558,12,1.25,2018,5,8
Finland,2018-05-08,507687,12582,22379,5,2.1,2018,5,8
Finland,2018-05-08,507687,12582,22378,5,2.1,2018,5,8
Finland,2018-05-08,507687,12582,85014B,6,5.95,2018,5,8
Finland,2018-05-08,507687,12582,22114,4,3.95,2018,5,8
Finland,2018-05-08,507687,12582,21923,2,7.95,2018,5,8
Finland,2018-05-08,507687,12582,22139,3,4.95,2018,5,8
Finland,2018-05-08,507687,12582,21216,4,4.95,2018,5,8
Finland,2018-05-08,507687,12582,22445,6,2.95,2018,5,8
Finland,2018-05-08,507687,12582,22483,6,2.95,2018,5,8
Finland,2018-05-08,507687,12582,22098,12,1.25,2018,5,8
Finland,2018-05-08,507687,12582,22627,2,8.5,2018,5,8
Finland,2018-05-08,507687,12582,21899,13,0.65,2018,5,8
Finland,2018-05-08,507687,12582,21902,13,0.65,2018,5,8
Finland,2018-05-08,507687,12582,35810B,6,2.1,2018,5,8
Finland,2018-05-08,507687,12582,35809B,6,2.1,2018,5,8
Finland,2018-05-08,507687,12582,15056P,3,5.95,2018,5,8
Finland,2018-05-08,507687,12582,21924,2,7.95,2018,5,8
Finland,2018-05-08,507687,12582,85014A,3,5.95,2018,5,8
Finland,2018-05-08,507687,12582,82578,12,0.55,2018,5,8
Finland,2018-05-08,507687,12582,21911,12,1.65,2018,5,8
Finland,2018-05-08,507687,12582,21908,12,2.1,2018,5,8
Finland,2018-05-08,507687,12582,22467,6,2.55,2018,5,8
