country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
France,2017-11-28,489534,12615,35832,3,5.95,2017,11,28
France,2017-11-28,489439,12682,85014B,3,5.95,2017,11,28
France,2017-11-28,489439,12682,16169N,6,0.42,2017,11,28
France,2017-11-28,489439,12682,21491,6,1.9500000000000002,2017,11,28
France,2017-11-28,489439,12682,22333,8,1.65,2017,11,28
France,2017-11-28,489439,12682,85216,12,0.65,2017,11,28
France,2017-11-28,489439,12682,21493,12,0.85,2017,11,28
France,2017-11-28,489439,12682,22130,17,0.85,2017,11,28
France,2017-11-28,489439,12682,22064,12,1.65,2017,11,28
France,2017-11-28,489439,12682,21731,8,1.65,2017,11,28
France,2017-11-28,489439,12682,85232B,6,4.95,2017,11,28
France,2017-11-28,489439,12682,84691,12,0.85,2017,11,28
France,2017-11-28,489439,12682,85014A,3,5.95,2017,11,28
France,2017-11-28,489439,12682,22352,12,2.55,2017,11,28
France,2017-11-28,489439,12682,22139,9,4.95,2017,11,28
France,2017-11-28,489439,12682,22138,9,4.95,2017,11,28
France,2017-11-28,489439,12682,22065,12,1.45,2017,11,28
France,2017-11-28,489557,12490,85099B,15,1.9500000000000002,2017,11,28
France,2017-11-28,489557,12490,20719,10,0.85,2017,11,28
France,2017-11-28,489557,12490,21039,12,2.55,2017,11,28
France,2017-11-28,489557,12490,20712,10,1.9500000000000002,2017,11,28
France,2017-11-28,489557,12490,20711,10,1.9500000000000002,2017,11,28
France,2017-11-28,489557,12490,21432,8,5.95,2017,11,28
France,2017-11-28,489557,12490,21424,6,2.95,2017,11,28
France,2017-11-28,489557,12490,21426,6,2.1,2017,11,28
France,2017-11-28,489557,12490,20682,6,3.25,2017,11,28
France,2017-11-28,489557,12490,21238,8,0.85,2017,11,28
France,2017-11-28,489557,12490,21212,3,0.55,2017,11,28
France,2017-11-28,489557,12490,21439,12,1.25,2017,11,28
France,2017-11-28,489557,12490,16169D,19,0.42,2017,11,28
France,2017-11-28,489557,12490,16169C,13,0.42,2017,11,28
France,2017-11-28,489557,12490,21017,13,0.72,2017,11,28
France,2017-11-28,489557,12490,21731,1,1.65,2017,11,28
France,2017-11-28,489557,12490,22352,12,2.55,2017,11,28
France,2017-11-28,489557,12490,22353,6,2.55,2017,11,28
France,2017-11-28,489557,12490,21210,12,1.45,2017,11,28
France,2017-11-29,489883,12437,22325,6,4.95,2017,11,29
France,2017-11-29,489883,12437,21754,6,5.95,2017,11,29
France,2017-11-29,489883,12437,84535A,15,0.65,2017,11,29
France,2017-11-29,489883,12437,40046A,12,1.25,2017,11,29
France,2017-11-29,489883,12437,20981,12,0.85,2017,11,29
France,2017-11-29,489883,12437,20983,12,0.85,2017,11,29
France,2017-11-29,489883,12437,20979,11,1.25,2017,11,29
France,2017-11-29,489883,12437,20977,16,1.25,2017,11,29
France,2017-11-29,489883,12437,22139,6,4.95,2017,11,29
France,2017-11-29,489883,12437,22138,6,4.95,2017,11,29
France,2017-11-29,489883,12437,20696,4,3.75,2017,11,29
France,2017-11-29,489883,12437,85089,6,2.95,2017,11,29
France,2017-11-29,489883,12437,21249,6,2.95,2017,11,29
France,2017-11-29,489883,12437,21791,12,1.25,2017,11,29
France,2017-11-29,489883,12437,85227,12,0.85,2017,11,29
France,2017-11-29,489883,12437,20724,10,0.85,2017,11,29
France,2017-11-29,489883,12437,21935,10,1.65,2017,11,29
France,2017-11-29,489883,12437,21432,8,5.95,2017,11,29
France,2017-11-29,489883,12437,22211,12,1.65,2017,11,29
France,2017-11-29,489883,12437,21826,12,1.25,2017,11,29
France,2017-11-29,489883,12437,84670,20,0.42,2017,11,29
France,2017-11-29,489883,12437,22352,6,2.55,2017,11,29
France,2017-11-29,489883,12437,84671B,6,2.55,2017,11,29
France,2017-11-29,489883,12437,21429,1,1.65,2017,11,29
France,2017-11-30,490120,14277,22352,2,2.55,2017,11,30
France,2017-11-30,490120,14277,21092,3,0.85,2017,11,30
France,2017-11-30,490120,14277,21099,1,0.65,2017,11,30
France,2017-11-30,490120,14277,21094,2,0.85,2017,11,30
France,2017-11-30,490120,14277,21086,3,0.65,2017,11,30
France,2017-11-30,490120,14277,21121,4,1.25,2017,11,30
France,2017-11-30,490120,14277,21212,3,0.55,2017,11,30
France,2017-11-30,490120,14277,84997A,4,3.75,2017,11,30
France,2017-11-30,490120,14277,84997D,1,3.75,2017,11,30
France,2017-11-30,490120,14277,22333,3,1.65,2017,11,30
France,2017-11-30,490120,14277,20682,4,3.25,2017,11,30
France,2017-11-30,490120,14277,20681,3,3.25,2017,11,30
France,2017-11-30,490120,14277,21889,1,1.25,2017,11,30
France,2017-11-30,490120,14277,22331,4,1.65,2017,11,30
France,2017-11-30,490139,12577,85183A,3,3.75,2017,11,30
France,2017-11-30,490139,12577,85183B,3,3.75,2017,11,30
France,2017-11-30,490139,12577,21100,10,1.65,2017,11,30
France,2017-11-30,490139,12577,22125,1,5.95,2017,11,30
France,2017-11-30,490139,12577,22114,1,3.95,2017,11,30
France,2017-11-30,490139,12577,21934,10,1.65,2017,11,30
France,2017-11-30,490139,12577,21913,8,3.75,2017,11,30
France,2017-11-30,490139,12577,21912,7,3.75,2017,11,30
France,2017-11-30,490139,12577,21888,7,3.75,2017,11,30
France,2017-11-30,490139,12577,21890,7,2.95,2017,11,30
France,2017-11-30,490139,12577,21889,6,1.25,2017,11,30
France,2017-11-30,490139,12577,21892,14,1.25,2017,11,30
France,2017-12-01,490152,12714,16169P,17,0.42,2017,12,1
France,2017-12-01,490152,12714,20679,3,5.95,2017,12,1
France,2017-12-01,490152,12714,20940,6,2.95,2017,12,1
France,2017-12-01,490152,12714,21216,4,4.95,2017,12,1
France,2017-12-01,490152,12714,21429,8,1.65,2017,12,1
France,2017-12-01,490152,12714,21431,8,1.65,2017,12,1
France,2017-12-01,490152,12714,22052,7,0.42,2017,12,1
France,2017-12-01,490152,12714,85232B,12,4.95,2017,12,1
