country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Germany,2017-11-28,489526,12533,21976,19,0.55,2017,11,28
Germany,2017-11-28,489526,12533,21498,18,0.42,2017,11,28
Germany,2017-11-28,489526,12533,22077,12,1.65,2017,11,28
Germany,2017-11-28,489526,12533,84946,12,1.25,2017,11,28
Germany,2017-11-28,489526,12533,84948,4,1.65,2017,11,28
Germany,2017-11-28,489526,12533,21537,4,4.25,2017,11,28
Germany,2017-11-28,489526,12533,21733,6,2.95,2017,11,28
Germany,2017-11-28,489526,12533,85123A,6,2.95,2017,11,28
Germany,2017-11-28,489526,12533,20718,10,1.25,2017,11,28
Germany,2017-11-28,489526,12533,21539,3,4.95,2017,11,28
Germany,2017-11-28,489526,12533,16169F,22,0.42,2017,11,28
Germany,2017-11-28,489526,12533,84836,3,1.25,2017,11,28
Germany,2017-11-28,489526,12533,21533,6,4.95,2017,11,28
Germany,2017-11-28,489526,12533,21531,6,2.55,2017,11,28
Germany,2017-11-28,489526,12533,22333,8,1.65,2017,11,28
Germany,2017-11-28,489526,12533,22319,19,0.65,2017,11,28
Germany,2017-11-28,489526,12533,85049E,12,1.25,2017,11,28
Germany,2017-11-28,489526,12533,85232B,9,4.95,2017,11,28
Germany,2017-11-28,489526,12533,20676,8,1.25,2017,11,28
Germany,2017-11-28,489526,12533,20914,12,2.95,2017,11,28
Germany,2017-11-28,489526,12533,21242,8,1.69,2017,11,28
Germany,2017-11-28,489526,12533,22232,8,1.65,2017,11,28
Germany,2017-11-28,489526,12533,21535,6,2.55,2017,11,28
Germany,2017-11-28,489526,12533,21844,6,2.95,2017,11,28
Germany,2017-11-28,489526,12533,22073,4,3.75,2017,11,28
Germany,2017-11-28,489526,12533,22072,4,3.75,2017,11,28
Germany,2017-11-28,489526,12533,22321,11,0.85,2017,11,28
Germany,2017-11-28,489526,12533,15056BL,6,5.95,2017,11,28
Germany,2017-11-28,489526,12533,15056N,6,5.95,2017,11,28
Germany,2017-11-28,489526,12533,21731,12,1.65,2017,11,28
Germany,2017-11-28,489526,12533,22254,12,1.25,2017,11,28
Germany,2017-11-28,489526,12533,22255,12,0.85,2017,11,28
Germany,2017-11-28,489526,12533,46000S,2,1.45,2017,11,28
Germany,2017-11-28,489526,12533,20964,3,2.55,2017,11,28
Germany,2017-11-28,489526,12533,21788,12,0.85,2017,11,28
Germany,2017-11-28,489526,12533,21789,12,0.85,2017,11,28
