country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Greece,2017-12-04,490612,17508,72760B,2,9.95,2017,12,4
Greece,2017-12-04,490612,17508,84406B,8,3.25,2017,12,4
Greece,2017-12-04,490612,17508,22224,6,2.95,2017,12,4
Greece,2017-12-04,490612,17508,85186A,22,0.42,2017,12,4
Greece,2017-12-04,490612,17508,22256,12,1.25,2017,12,4
Greece,2017-12-04,490612,17508,22267,12,1.25,2017,12,4
Greece,2017-12-04,490612,17508,84459B,12,1.49,2017,12,4
Greece,2017-12-04,490612,17508,22229,12,0.85,2017,12,4
Greece,2017-12-04,490612,17508,22318,6,2.95,2017,12,4
Greece,2017-12-04,490612,17508,22317,6,2.95,2017,12,4
Greece,2017-12-04,490612,17508,22036,12,0.42,2017,12,4
Greece,2017-12-04,490612,17508,85186C,7,0.42,2017,12,4
Greece,2017-12-04,490612,17508,21506,12,0.42,2017,12,4
Greece,2017-12-04,490612,17508,22032,12,0.42,2017,12,4
Greece,2017-12-04,490612,17508,22283,2,7.95,2017,12,4
Greece,2017-12-04,490612,17508,20751,12,2.1,2017,12,4
Greece,2017-12-04,490612,17508,22220,2,9.95,2017,12,4
Greece,2017-12-04,490612,17508,22105,4,4.25,2017,12,4
Greece,2017-12-04,490612,17508,22178,12,1.25,2017,12,4
Greece,2017-12-04,490612,17508,22297,17,1.25,2017,12,4
Greece,2017-12-04,490612,17508,84879,8,1.69,2017,12,4
Greece,2017-12-04,490612,17508,22033,12,0.42,2017,12,4
Greece,2017-12-04,490612,17508,85198,12,0.85,2017,12,4
Greece,2017-12-04,490612,17508,85196,12,0.55,2017,12,4
Greece,2017-12-04,490612,17508,84454,12,0.85,2017,12,4
Greece,2017-12-04,490612,17508,21217,1,9.95,2017,12,4
Greece,2017-12-04,490612,17508,21252,6,2.95,2017,12,4
Greece,2017-12-04,490612,17508,21421,12,1.25,2017,12,4
Greece,2017-12-04,490612,17508,15036,12,0.65,2017,12,4
Greece,2017-12-04,490612,17508,22219,12,0.85,2017,12,4
Greece,2017-12-04,490612,17508,15044B,6,2.95,2017,12,4
Greece,2017-12-04,490612,17508,15044A,6,2.95,2017,12,4
Greece,2017-12-04,490612,17508,35824C,12,1.49,2017,12,4
Greece,2017-12-04,490612,17508,84755,1,0.65,2017,12,4
Greece,2017-12-04,490612,17508,22342,12,1.65,2017,12,4
Greece,2017-12-04,490612,17508,22341,12,1.65,2017,12,4
Greece,2017-12-04,490612,17508,84971L,12,1.25,2017,12,4
Greece,2017-12-04,490612,17508,85200,12,1.25,2017,12,4
Greece,2017-12-04,490612,17508,85194L,12,0.85,2017,12,4
Greece,2017-12-04,490612,17508,21384,21,0.85,2017,12,4
Greece,2018-01-11,494473,17508,22030,12,0.42,2018,1,11
Greece,2018-01-11,494473,17508,85150,6,2.55,2018,1,11
Greece,2018-01-11,494473,17508,85220,8,1.65,2018,1,11
Greece,2018-01-11,494473,17508,21700,12,0.85,2018,1,11
Greece,2018-01-11,494473,17508,37370,12,1.25,2018,1,11
Greece,2018-01-11,494473,17508,21080,12,0.85,2018,1,11
Greece,2018-01-11,494473,17508,21333,6,2.95,2018,1,11
Greece,2018-01-11,494473,17508,21410,3,4.25,2018,1,11
Greece,2018-01-11,494473,17508,22024,12,0.42,2018,1,11
Greece,2018-01-11,494473,17508,22028,12,0.42,2018,1,11
Greece,2018-01-11,494473,17508,22032,12,0.42,2018,1,11
Greece,2018-01-11,494473,17508,22033,12,0.42,2018,1,11
Greece,2018-01-11,494473,17508,85188A,9,0.85,2018,1,11
Greece,2018-01-11,494473,17508,85206A,6,1.65,2018,1,11
Greece,2018-01-11,494473,17508,22021,6,1.65,2018,1,11
Greece,2018-01-11,494473,17508,22281,2,5.95,2018,1,11
Greece,2018-01-11,494473,17508,20725,10,1.65,2018,1,11
Greece,2018-01-11,494473,17508,21697,12,1.69,2018,1,11
Greece,2018-01-11,494473,17508,84839,4,6.75,2018,1,11
Greece,2018-01-11,494473,17508,22122,12,2.95,2018,1,11
Greece,2018-01-11,494473,17508,22178,12,1.25,2018,1,11
Greece,2018-01-11,494473,17508,85123A,18,2.55,2018,1,11
Greece,2018-01-11,494473,17508,21078,12,0.85,2018,1,11
Greece,2018-01-11,494473,17508,21283,3,3.25,2018,1,11
Greece,2018-01-11,494473,17508,72351A,12,2.1,2018,1,11
Greece,2018-01-11,494473,17508,84879,8,1.69,2018,1,11
Greece,2018-01-11,494473,17508,22173,8,2.95,2018,1,11
Greece,2018-01-11,494473,17508,20730,10,1.25,2018,1,11
Greece,2018-01-11,494473,17508,21937,5,2.95,2018,1,11
Greece,2018-01-11,494473,17508,85099B,10,1.9500000000000002,2018,1,11
Greece,2018-01-11,494473,17508,85175,9,0.42,2018,1,11
Greece,2018-01-11,494473,17508,85218,16,1.45,2018,1,11
Greece,2018-01-11,494473,17508,21281,6,2.55,2018,1,11
Greece,2018-01-11,494473,17508,21280,6,2.55,2018,1,11
Greece,2018-01-11,494473,17508,21279,6,2.55,2018,1,11
Greece,2018-01-11,494473,17508,21278,6,2.55,2018,1,11
Greece,2018-01-11,494473,17508,85232A,3,4.95,2018,1,11
Greece,2018-01-11,494473,17508,21699,23,1.69,2018,1,11
Greece,2018-01-11,494473,17508,21702,6,1.69,2018,1,11
Greece,2018-01-11,494473,17508,21411,3,4.25,2018,1,11
Greece,2018-01-11,494473,17508,21247,12,1.49,2018,1,11
Greece,2018-01-18,495185,14439,84932A,8,1.9500000000000002,2018,1,18
Greece,2018-01-18,495185,14439,84932B,8,1.9500000000000002,2018,1,18
Greece,2018-01-18,495185,14439,72753A,8,2.1,2018,1,18
Greece,2018-01-18,495185,14439,72750C,8,1.9500000000000002,2018,1,18
Greece,2018-01-18,495185,14439,20933,14,2.95,2018,1,18
Greece,2018-01-18,495185,14439,16202C,12,1.9500000000000002,2018,1,18
Greece,2018-01-18,495185,14439,48111,10,5.95,2018,1,18
Greece,2018-01-18,495185,14439,48188,10,5.95,2018,1,18
Greece,2018-01-18,495185,14439,22221,12,8.5,2018,1,18
Greece,2018-01-18,495185,14439,21523,10,5.95,2018,1,18
Greece,2018-01-18,495185,14439,22224,12,2.95,2018,1,18
Greece,2018-01-18,495185,14439,85186A,23,0.42,2018,1,18
Greece,2018-01-18,495185,14439,22244,12,1.9500000000000002,2018,1,18
Greece,2018-01-18,495185,14439,85186C,17,0.42,2018,1,18
Greece,2018-01-18,495185,14439,35922,6,4.25,2018,1,18
Greece,2018-01-18,495185,14439,22251,4,1.25,2018,1,18
Greece,2018-01-18,495185,14439,84450A,18,0.42,2018,1,18
Greece,2018-01-18,495185,14439,22233,12,1.65,2018,1,18
Greece,2018-01-18,495185,14439,22242,12,1.65,2018,1,18
Greece,2018-01-18,495185,14439,22230,12,0.85,2018,1,18
Greece,2018-01-18,495185,14439,84356,12,5.95,2018,1,18
Greece,2018-01-18,495185,14439,84799,3,1.25,2018,1,18
Greece,2018-01-18,495185,14439,22218,5,3.75,2018,1,18
Greece,2018-01-18,495185,14439,22217,18,1.06,2018,1,18
Greece,2018-01-18,495185,14439,22215,12,7.65,2018,1,18
Greece,2018-01-18,495185,14439,22245,12,0.85,2018,1,18
Greece,2018-01-18,495185,14439,22231,12,1.45,2018,1,18
Greece,2018-01-18,495185,14439,85187,12,1.65,2018,1,18
Greece,2018-01-18,495185,14439,84815,12,4.25,2018,1,18
Greece,2018-01-18,495185,14439,48184,10,5.95,2018,1,18
Greece,2018-01-18,495185,14439,21524,18,5.95,2018,1,18
Greece,2018-01-18,495185,14439,48194,10,5.95,2018,1,18
Greece,2018-01-18,495185,14439,20934,16,4.95,2018,1,18
Greece,2018-01-18,495185,14439,22301,15,2.1,2018,1,18
Greece,2018-01-18,495185,14439,47505,23,4.25,2018,1,18
Greece,2018-01-18,495185,14439,84880,12,4.95,2018,1,18
Greece,2018-01-18,495185,14439,22172,8,7.65,2018,1,18
Greece,2018-01-18,495185,14439,22212,17,2.1,2018,1,18
Greece,2018-01-22,495404,14439,20685,10,5.95,2018,1,22
Greece,2018-01-22,495404,14439,85114B,6,1.65,2018,1,22
Greece,2018-01-22,495404,14439,21707,4,4.95,2018,1,22
Greece,2018-01-22,495404,14439,20725,10,1.65,2018,1,22
Greece,2018-01-22,495404,14439,22354,17,3.39,2018,1,22
Greece,2018-01-22,495404,14439,37449,8,8.5,2018,1,22
Greece,2018-01-22,495404,14439,21616,22,3.25,2018,1,22
Greece,2018-01-22,495404,14439,37503,12,9.95,2018,1,22
Greece,2018-01-22,495404,14439,84509G,10,2.95,2018,1,22
Greece,2018-01-22,495404,14439,21051,17,1.69,2018,1,22
Greece,2018-01-22,495404,14439,20750,2,7.95,2018,1,22
Greece,2018-01-22,495404,14439,22320,2,5.45,2018,1,22
Greece,2018-03-02,500183,17508,22027,12,0.42,2018,3,2
Greece,2018-03-02,500183,17508,21462,2,6.75,2018,3,2
Greece,2018-03-02,500183,17508,48111,2,7.49,2018,3,2
Greece,2018-03-02,500183,17508,48187,2,7.49,2018,3,2
Greece,2018-03-02,500183,17508,21324,6,2.95,2018,3,2
Greece,2018-03-02,500183,17508,84689,3,5.95,2018,3,2
Greece,2018-03-02,500183,17508,21363,3,4.95,2018,3,2
Greece,2018-03-02,500183,17508,21983,22,0.29,2018,3,2
Greece,2018-03-02,500183,17508,84251J,2,0.42,2018,3,2
Greece,2018-03-02,500183,17508,84247N,12,2.95,2018,3,2
Greece,2018-03-02,500183,17508,84685,4,3.75,2018,3,2
Greece,2018-03-02,500183,17508,84687,2,5.95,2018,3,2
Greece,2018-03-02,500183,17508,20707,1,1.25,2018,3,2
Greece,2018-03-02,500183,17508,22297,12,1.25,2018,3,2
Greece,2018-03-02,500183,17508,84637,3,5.95,2018,3,2
Greece,2018-03-02,500183,17508,79029,6,1.9500000000000002,2018,3,2
Greece,2018-03-02,500183,17508,84879,4,1.69,2018,3,2
Greece,2018-03-02,500183,17508,21246,6,4.95,2018,3,2
Greece,2018-03-02,500183,17508,20886,12,1.9500000000000002,2018,3,2
Greece,2018-03-02,500183,17508,21136,5,1.69,2018,3,2
Greece,2018-03-19,501915,17508,84247N,1,2.95,2018,3,19
Greece,2018-04-25,506260,12717,22276,6,2.55,2018,4,25
Greece,2018-04-25,506260,12717,21114,10,1.25,2018,4,25
Greece,2018-04-25,506260,12717,21391,6,2.1,2018,4,25
Greece,2018-04-25,506260,12717,21841,3,4.25,2018,4,25
Greece,2018-04-25,506260,12717,47590A,3,5.45,2018,4,25
Greece,2018-04-25,506260,12717,47590B,3,5.45,2018,4,25
Greece,2018-04-25,506260,12717,21381,12,1.69,2018,4,25
Greece,2018-04-25,506260,12717,22318,6,2.95,2018,4,25
Greece,2018-04-25,506260,12717,22317,6,2.95,2018,4,25
Greece,2018-04-25,506260,12717,21051,6,2.1,2018,4,25
Greece,2018-04-25,506260,12717,47591D,8,1.9500000000000002,2018,4,25
Greece,2018-04-25,506260,12717,20702,3,4.25,2018,4,25
Greece,2018-04-25,506260,12717,35653,6,2.95,2018,4,25
Greece,2018-04-25,506260,12717,20703,3,4.25,2018,4,25
Greece,2018-04-25,506260,12717,21272,12,1.25,2018,4,25
Greece,2018-05-09,508040,17508,84970S,11,0.85,2018,5,9
Greece,2018-05-09,508040,17508,84879,8,1.69,2018,5,9
Greece,2018-05-09,508040,17508,21136,8,1.69,2018,5,9
Greece,2018-05-09,508040,17508,84584,6,2.55,2018,5,9
Greece,2018-05-09,508040,17508,84920,4,3.75,2018,5,9
Greece,2018-05-09,508040,17508,22464,3,1.45,2018,5,9
Greece,2018-05-09,508040,17508,84678,6,2.55,2018,5,9
Greece,2018-05-09,508040,17508,85213,19,0.85,2018,5,9
Greece,2018-05-09,508040,17508,17091J,3,0.38,2018,5,9
Greece,2018-05-09,508040,17508,48111,2,7.49,2018,5,9
Greece,2018-05-09,508040,17508,48184,2,7.49,2018,5,9
Greece,2018-05-09,508040,17508,84932C,8,1.9500000000000002,2018,5,9
Greece,2018-05-09,508040,17508,21932,5,2.95,2018,5,9
Greece,2018-05-09,508040,17508,21937,5,2.95,2018,5,9
Greece,2018-05-09,508040,17508,22583,6,2.55,2018,5,9
Greece,2018-05-09,508040,17508,48188,2,7.49,2018,5,9
Greece,2018-05-09,508040,17508,35824B,6,0.38,2018,5,9
Greece,2018-05-09,508040,17508,22584,6,2.55,2018,5,9
Greece,2018-05-09,508040,17508,22469,12,1.65,2018,5,9
Greece,2018-05-09,508040,17508,84509F,4,3.75,2018,5,9
Greece,2018-05-09,508040,17508,45013,8,2.95,2018,5,9
Greece,2018-05-09,508040,17508,21684,12,0.85,2018,5,9
Greece,2018-05-18,509216,14439,48129,12,6.35,2018,5,18
Greece,2018-05-18,509216,14439,22366,16,6.35,2018,5,18
Greece,2018-05-18,509216,14439,22459,11,2.1,2018,5,18
Greece,2018-05-18,509216,14439,21745,16,3.39,2018,5,18
Greece,2018-05-18,509216,14439,22477,18,1.25,2018,5,18
Greece,2018-05-18,509216,14439,84406B,15,3.25,2018,5,18
Greece,2018-05-18,509216,14439,21333,18,2.95,2018,5,18
Greece,2018-05-18,509216,14439,48187,6,6.35,2018,5,18
Greece,2018-05-18,509216,14439,21523,13,6.35,2018,5,18
Greece,2018-05-18,509216,14439,21524,6,6.35,2018,5,18
Greece,2018-05-18,509216,14439,22215,12,7.65,2018,5,18
Greece,2018-05-18,509216,14439,48188,5,6.35,2018,5,18
Greece,2018-05-18,509216,14439,48111,10,6.35,2018,5,18
Greece,2018-05-18,509216,14439,22171,12,7.65,2018,5,18
Greece,2018-05-18,509216,14439,22170,12,5.95,2018,5,18
Greece,2018-05-18,509216,14439,22169,8,7.65,2018,5,18
Greece,2018-05-18,509216,14439,22189,8,3.95,2018,5,18
Greece,2018-05-18,509216,14439,84971S,21,0.85,2018,5,18
Greece,2018-05-18,509216,14439,22342,12,1.65,2018,5,18
Greece,2018-05-18,509216,14439,21777,12,6.95,2018,5,18
Greece,2018-05-18,509216,14439,22500,12,4.95,2018,5,18
Greece,2018-05-18,509216,14439,22497,12,4.25,2018,5,18
Greece,2018-05-18,509216,14439,84932A,1,1.9500000000000002,2018,5,18
Greece,2018-05-18,509216,14439,20892,8,9.95,2018,5,18
Greece,2018-05-18,509216,14439,20871,14,1.25,2018,5,18
Greece,2018-05-18,509216,14439,22466,12,1.9500000000000002,2018,5,18
Greece,2018-05-18,509216,14439,22505,8,4.95,2018,5,18
Greece,2018-05-18,509216,14439,84375,9,1.9500000000000002,2018,5,18
Greece,2018-06-27,514021,17508,22469,12,1.65,2018,6,27
Greece,2018-06-27,514021,17508,85123A,17,2.55,2018,6,27
Greece,2018-06-27,514021,17508,15036,11,0.75,2018,6,27
Greece,2018-06-27,514021,17508,22427,3,5.95,2018,6,27
Greece,2018-06-27,514021,17508,21116,3,4.95,2018,6,27
Greece,2018-06-27,514021,17508,21411,3,4.25,2018,6,27
Greece,2018-06-27,514021,17508,21410,3,4.25,2018,6,27
Greece,2018-06-27,514021,17508,18098C,6,2.95,2018,6,27
Greece,2018-08-20,519936,17508,21262,6,2.95,2018,8,20
Greece,2018-08-20,519936,17508,21430,4,3.75,2018,8,20
Greece,2018-08-20,519936,17508,22464,20,1.45,2018,8,20
Greece,2018-08-20,519936,17508,71459,12,0.85,2018,8,20
Greece,2018-08-20,519936,17508,84755,13,0.65,2018,8,20
Greece,2018-08-20,519936,17508,84950,12,0.85,2018,8,20
Greece,2018-08-20,519936,17508,17091J,22,0.38,2018,8,20
Greece,2018-08-20,519936,17508,85062,12,1.65,2018,8,20
Greece,2018-08-20,519936,17508,21115,2,6.75,2018,8,20
Greece,2018-08-20,519936,17508,21407,3,4.25,2018,8,20
Greece,2018-08-20,519936,17508,21411,3,4.25,2018,8,20
Greece,2018-08-20,519936,17508,85230F,9,0.29,2018,8,20
Greece,2018-08-20,519936,17508,21937,5,2.95,2018,8,20
Greece,2018-08-20,519936,17508,84792,4,4.65,2018,8,20
Greece,2018-08-20,519936,17508,17091A,16,0.38,2018,8,20
Greece,2018-08-20,519936,17508,84879,9,1.69,2018,8,20
Greece,2018-08-20,519936,17508,21136,13,1.69,2018,8,20
Greece,2018-08-20,519936,17508,22595,12,0.85,2018,8,20
Greece,2018-08-20,519936,17508,22571,12,0.85,2018,8,20
Greece,2018-08-20,519936,17508,21349,4,6.75,2018,8,20
Greece,2018-08-20,519936,17508,84945,11,0.85,2018,8,20
Greece,2018-08-20,519936,17508,21823,12,1.45,2018,8,20
Greece,2018-08-20,519936,17508,21824,12,1.45,2018,8,20
Greece,2018-08-20,519936,17508,21733,2,2.55,2018,8,20
Greece,2018-08-20,519936,17508,35400,2,8.95,2018,8,20
Greece,2018-08-20,519936,17508,22286,12,1.65,2018,8,20
Greece,2018-08-20,519936,17508,21457,12,1.25,2018,8,20
Greece,2018-08-20,519936,17508,22250,11,0.85,2018,8,20
Greece,2018-08-20,519936,17508,22297,4,1.25,2018,8,20
Greece,2018-08-20,519936,17508,21911,12,1.65,2018,8,20
Greece,2018-08-20,519936,17508,21390,17,1.25,2018,8,20
Greece,2018-08-20,519936,17508,72818,12,0.85,2018,8,20
Greece,2018-09-19,523551,14439,48129,15,6.75,2018,9,19
Greece,2018-09-19,523551,14439,48188,8,6.75,2018,9,19
Greece,2018-09-19,523551,14439,21524,9,6.75,2018,9,19
Greece,2018-09-19,523551,14439,20685,10,6.75,2018,9,19
Greece,2018-09-19,523551,14439,21745,3,3.39,2018,9,19
Greece,2018-09-19,523551,14439,22366,8,6.75,2018,9,19
Greece,2018-09-19,523551,14439,22169,8,7.65,2018,9,19
Greece,2018-09-19,523551,14439,20871,19,1.25,2018,9,19
Greece,2018-10-04,525764,12511,22488,12,1.65,2018,10,4
Greece,2018-10-04,525764,12511,22512,4,3.75,2018,10,4
Greece,2018-10-04,525764,12511,22513,4,3.75,2018,10,4
Greece,2018-10-04,525764,12511,22571,12,0.85,2018,10,4
Greece,2018-10-04,525764,12511,22572,12,0.85,2018,10,4
Greece,2018-10-04,525764,12511,22575,8,1.9500000000000002,2018,10,4
Greece,2018-10-04,525764,12511,22589,6,2.55,2018,10,4
Greece,2018-10-04,525764,12511,22592,4,3.75,2018,10,4
Greece,2018-10-04,525764,12511,22596,12,0.85,2018,10,4
Greece,2018-10-04,525764,12511,22597,12,0.85,2018,10,4
Greece,2018-10-04,525764,12511,22637,6,2.55,2018,10,4
Greece,2018-10-04,525764,12511,22644,12,1.45,2018,10,4
Greece,2018-10-04,525764,12511,22650,12,1.45,2018,10,4
Greece,2018-10-04,525764,12511,22660,2,7.95,2018,10,4
Greece,2018-10-04,525764,12511,22672,12,1.65,2018,10,4
Greece,2018-10-04,525764,12511,22673,12,1.25,2018,10,4
Greece,2018-10-04,525764,12511,22697,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,22698,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,22835,4,4.65,2018,10,4
Greece,2018-10-04,525764,12511,22855,12,1.25,2018,10,4
Greece,2018-10-04,525764,12511,22862,4,4.25,2018,10,4
Greece,2018-10-04,525764,12511,22863,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,22944,12,1.25,2018,10,4
Greece,2018-10-04,525764,12511,22649,8,4.95,2018,10,4
Greece,2018-10-04,525764,12511,22483,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,22466,12,1.9500000000000002,2018,10,4
Greece,2018-10-04,525764,12511,22460,12,1.25,2018,10,4
Greece,2018-10-04,525764,12511,22178,12,1.25,2018,10,4
Greece,2018-10-04,525764,12511,22180,1,9.95,2018,10,4
Greece,2018-10-04,525764,12511,22184,2,8.5,2018,10,4
Greece,2018-10-04,525764,12511,22186,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,22187,4,4.25,2018,10,4
Greece,2018-10-04,525764,12511,22198,12,1.65,2018,10,4
Greece,2018-10-04,525764,12511,22227,11,0.65,2018,10,4
Greece,2018-10-04,525764,12511,22294,16,1.25,2018,10,4
Greece,2018-10-04,525764,12511,22296,12,1.65,2018,10,4
Greece,2018-10-04,525764,12511,22317,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,22318,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,22343,12,0.85,2018,10,4
Greece,2018-10-04,525764,12511,22344,12,0.85,2018,10,4
Greece,2018-10-04,525764,12511,22345,12,0.85,2018,10,4
Greece,2018-10-04,525764,12511,22346,12,0.85,2018,10,4
Greece,2018-10-04,525764,12511,22348,12,0.85,2018,10,4
Greece,2018-10-04,525764,12511,22357,4,4.25,2018,10,4
Greece,2018-10-04,525764,12511,22358,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,22364,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,22378,5,2.1,2018,10,4
Greece,2018-10-04,525764,12511,22413,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,22414,2,7.95,2018,10,4
Greece,2018-10-04,525764,12511,22457,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,22945,11,0.85,2018,10,4
Greece,2018-10-04,525764,12511,22176,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,35095A,12,0.42,2018,10,4
Greece,2018-10-04,525764,12511,35241,3,4.95,2018,10,4
Greece,2018-10-04,525764,12511,84660C,4,3.75,2018,10,4
Greece,2018-10-04,525764,12511,84663A,3,5.95,2018,10,4
Greece,2018-10-04,525764,12511,84760S,12,1.45,2018,10,4
Greece,2018-10-04,525764,12511,84836,12,1.25,2018,10,4
Greece,2018-10-04,525764,12511,84924A,4,3.75,2018,10,4
Greece,2018-10-04,525764,12511,84929,12,0.55,2018,10,4
Greece,2018-10-04,525764,12511,84949,6,1.65,2018,10,4
Greece,2018-10-04,525764,12511,85027L,2,7.95,2018,10,4
Greece,2018-10-04,525764,12511,85030,2,7.95,2018,10,4
Greece,2018-10-04,525764,12511,85034B,4,4.25,2018,10,4
Greece,2018-10-04,525764,12511,85054,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,84660B,4,3.75,2018,10,4
Greece,2018-10-04,525764,12511,85071B,6,2.95,2018,10,4
Greece,2018-10-04,525764,12511,85086A,12,0.85,2018,10,4
Greece,2018-10-04,525764,12511,85096,6,3.75,2018,10,4
Greece,2018-10-04,525764,12511,85150,6,2.55,2018,10,4
Greece,2018-10-04,525764,12511,85180B,3,4.65,2018,10,4
Greece,2018-10-04,525764,12511,85199L,12,0.65,2018,10,4
Greece,2018-10-04,525764,12511,85203,19,0.42,2018,10,4
Greece,2018-10-04,525764,12511,85204,17,0.42,2018,10,4
Greece,2018-10-04,525764,12511,85216,12,0.65,2018,10,4
Greece,2018-10-04,525764,12511,20668,10,0.12,2018,10,4
Greece,2018-10-04,525764,12511,20671,8,1.25,2018,10,4
Greece,2018-10-04,525764,12511,84660A,4,3.75,2018,10,4
Greece,2018-10-04,525764,12511,84596B,8,1.25,2018,10,4
Greece,2018-10-04,525764,12511,84595E,6,3.75,2018,10,4
