country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Hong Kong,2018-04-18,505214,,21156,8,1.9500000000000002,2018,4,18
Hong Kong,2018-04-18,505214,,22386,10,1.9500000000000002,2018,4,18
Hong Kong,2018-04-18,505214,,22384,10,1.65,2018,4,18
Hong Kong,2018-04-18,505214,,22550,6,3.75,2018,4,18
Hong Kong,2018-04-18,505214,,21912,4,3.75,2018,4,18
Hong Kong,2018-04-18,505214,,21715,8,2.55,2018,4,18
Hong Kong,2018-04-18,505214,,21716,8,2.55,2018,4,18
Hong Kong,2018-04-18,505214,,21936,5,2.95,2018,4,18
Hong Kong,2018-04-18,505214,,21888,4,3.75,2018,4,18
Hong Kong,2018-04-18,505214,,21791,12,1.25,2018,4,18
Hong Kong,2018-04-18,505214,,22367,8,1.9500000000000002,2018,4,18
Hong Kong,2018-04-18,505214,,22243,12,1.65,2018,4,18
Hong Kong,2018-04-18,505214,,22242,12,1.65,2018,4,18
Hong Kong,2018-04-18,505214,,22551,12,1.65,2018,4,18
Hong Kong,2018-04-18,505214,,22382,10,1.65,2018,4,18
Hong Kong,2018-04-18,505214,,21790,12,0.85,2018,4,18
Hong Kong,2018-04-18,505214,,20725,10,1.65,2018,4,18
Hong Kong,2018-04-18,505214,,85099B,10,1.9500000000000002,2018,4,18
Hong Kong,2018-04-18,505214,,21080,12,0.85,2018,4,18
Hong Kong,2018-04-18,505214,,20675,21,1.06,2018,4,18
Hong Kong,2018-04-18,505214,,21238,12,0.72,2018,4,18
Hong Kong,2018-04-18,505214,,21239,6,0.72,2018,4,18
Hong Kong,2018-04-18,505214,,21240,19,0.72,2018,4,18
Hong Kong,2018-04-18,505214,,21212,21,0.55,2018,4,18
Hong Kong,2018-04-18,505214,,22417,10,0.55,2018,4,18
Hong Kong,2018-04-18,505214,,84997C,11,3.39,2018,4,18
Hong Kong,2018-04-18,505214,,84997D,10,3.39,2018,4,18
Hong Kong,2018-04-18,505214,,21949,12,1.25,2018,4,18
Hong Kong,2018-04-18,505214,,21947,12,1.25,2018,4,18
Hong Kong,2018-04-18,505214,,21948,12,1.25,2018,4,18
Hong Kong,2018-04-18,505214,,20750,12,6.35,2018,4,18
Hong Kong,2018-04-18,505214,,20681,6,3.25,2018,4,18
Hong Kong,2018-04-18,505214,,20682,6,3.25,2018,4,18
Hong Kong,2018-04-18,505214,,21094,12,0.85,2018,4,18
Hong Kong,2018-04-18,505214,,21086,12,0.65,2018,4,18
Hong Kong,2018-04-18,505214,,22385,10,1.9500000000000002,2018,4,18
Hong Kong,2018-04-18,505214,,22554,12,1.65,2018,4,18
Hong Kong,2018-04-18,505214,,20677,16,1.06,2018,4,18
Hong Kong,2018-04-18,505214,,20676,17,1.06,2018,4,18
Hong Kong,2018-04-18,505214,,22326,6,2.95,2018,4,18
Hong Kong,2018-04-18,505214,,22329,12,1.65,2018,4,18
Hong Kong,2018-04-18,505214,,22352,6,2.55,2018,4,18
Hong Kong,2018-04-18,505214,,22353,6,2.55,2018,4,18
Hong Kong,2018-04-18,505214,,21242,10,1.45,2018,4,18
Hong Kong,2018-04-18,505214,,21244,8,1.45,2018,4,18
Hong Kong,2018-06-21,513405,,22553,6,1.45,2018,6,21
Hong Kong,2018-06-21,513405,,22367,3,1.9500000000000002,2018,6,21
Hong Kong,2018-06-21,513405,,22555,9,1.45,2018,6,21
Hong Kong,2018-06-21,513405,,22556,20,1.45,2018,6,21
Hong Kong,2018-06-21,513405,,22333,7,1.45,2018,6,21
Hong Kong,2018-06-21,513405,,22382,19,1.65,2018,6,21
Hong Kong,2018-06-21,513405,,22385,9,1.9500000000000002,2018,6,21
Hong Kong,2018-06-21,513405,,20726,16,1.65,2018,6,21
Hong Kong,2018-06-21,513405,,22620,6,1.25,2018,6,21
Hong Kong,2018-06-21,513405,,20712,14,1.9500000000000002,2018,6,21
Hong Kong,2018-06-21,513405,,22386,14,1.9500000000000002,2018,6,21
Hong Kong,2018-06-21,513405,,22326,13,2.55,2018,6,21
Hong Kong,2018-06-21,513405,,22328,15,2.55,2018,6,21
Hong Kong,2018-06-21,513405,,22551,2,1.45,2018,6,21
Hong Kong,2018-06-21,513405,,22331,17,1.45,2018,6,21
Hong Kong,2018-06-21,513405,,22452,2,2.95,2018,6,21
Hong Kong,2018-06-21,513405,,21936,15,2.95,2018,6,21
Hong Kong,2018-06-21,513405,,20725,7,1.65,2018,6,21
Hong Kong,2018-06-21,513405,,22384,8,1.65,2018,6,21
Hong Kong,2018-06-21,513405,,21432,6,5.95,2018,6,21
Hong Kong,2018-06-21,513405,,22554,8,1.45,2018,6,21
Hong Kong,2019-01-21,541975,,22137,6,2.95,2019,1,21
Hong Kong,2019-01-21,541975,,21439,12,1.25,2019,1,21
Hong Kong,2019-01-21,541975,,22452,19,2.95,2019,1,21
Hong Kong,2019-01-21,541975,,22454,7,2.95,2019,1,21
Hong Kong,2019-01-21,541975,,22652,10,1.65,2019,1,21
Hong Kong,2019-01-21,541975,,22326,15,2.55,2019,1,21
Hong Kong,2019-01-21,541975,,20725,10,1.65,2019,1,21
Hong Kong,2019-01-21,541975,,20726,10,1.65,2019,1,21
Hong Kong,2019-01-21,541975,,22629,12,1.9500000000000002,2019,1,21
Hong Kong,2019-01-21,541975,,22630,12,1.9500000000000002,2019,1,21
Hong Kong,2019-01-21,541975,,22202,4,3.75,2019,1,21
Hong Kong,2019-01-21,541975,,22203,4,3.75,2019,1,21
Hong Kong,2019-01-21,541975,,22204,4,3.75,2019,1,21
Hong Kong,2019-01-21,541975,,21216,4,4.95,2019,1,21
Hong Kong,2019-01-21,541975,,84997B,15,3.75,2019,1,21
Hong Kong,2019-01-21,541975,,84997C,19,3.75,2019,1,21
Hong Kong,2019-01-21,541975,,20675,4,1.25,2019,1,21
Hong Kong,2019-01-21,541975,,20963,10,1.25,2019,1,21
Hong Kong,2019-01-21,541975,,20676,8,1.25,2019,1,21
Hong Kong,2019-01-21,541975,,20961,10,1.25,2019,1,21
Hong Kong,2019-01-21,541975,,20682,6,3.25,2019,1,21
Hong Kong,2019-01-21,541975,,22454,5,2.95,2019,1,21
Hong Kong,2019-01-21,541975,,22452,5,2.95,2019,1,21
Hong Kong,2019-01-21,541975,,20726,2,1.65,2019,1,21
Hong Kong,2019-01-21,541975,,22382,18,1.65,2019,1,21
Hong Kong,2019-01-21,541975,,21947,12,1.25,2019,1,21
Hong Kong,2019-01-21,541975,,21948,12,1.25,2019,1,21
Hong Kong,2019-01-21,541975,,21949,12,1.25,2019,1,21
Hong Kong,2019-01-21,541975,,20749,12,6.35,2019,1,21
Hong Kong,2019-01-21,541975,,22380,17,2.1,2019,1,21
Hong Kong,2019-01-21,541975,,47422,13,0.42,2019,1,21
Hong Kong,2019-01-21,541975,,20677,18,1.25,2019,1,21
Hong Kong,2019-01-21,541975,,21246,12,4.95,2019,1,21
