country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Iceland,2018-10-28,529924,12347,22697,6,2.95,2018,10,28
Iceland,2018-10-28,529924,12347,20712,10,1.9500000000000002,2018,10,28
Iceland,2018-10-28,529924,12347,84625A,6,2.95,2018,10,28
Iceland,2018-10-28,529924,12347,84625C,6,2.95,2018,10,28
Iceland,2018-10-28,529924,12347,84625D,6,2.95,2018,10,28
Iceland,2018-10-28,529924,12347,21579,6,2.25,2018,10,28
Iceland,2018-10-28,529924,12347,21578,6,2.25,2018,10,28
Iceland,2018-10-28,529924,12347,20719,10,0.85,2018,10,28
Iceland,2018-10-28,529924,12347,22331,6,1.65,2018,10,28
Iceland,2018-10-28,529924,12347,47599A,12,2.1,2018,10,28
Iceland,2018-10-28,529924,12347,20716,10,1.25,2018,10,28
Iceland,2018-10-28,529924,12347,47559B,10,1.25,2018,10,28
Iceland,2018-10-28,529924,12347,51014A,12,0.85,2018,10,28
Iceland,2018-10-28,529924,12347,51014C,12,0.85,2018,10,28
Iceland,2018-10-28,529924,12347,51014L,12,0.85,2018,10,28
Iceland,2018-10-28,529924,12347,22709,3,0.42,2018,10,28
Iceland,2018-10-28,529924,12347,84558A,6,2.95,2018,10,28
Iceland,2018-10-28,529924,12347,22534,21,0.42,2018,10,28
Iceland,2018-10-28,529924,12347,22530,17,0.42,2018,10,28
Iceland,2018-10-28,529924,12347,22196,12,0.85,2018,10,28
Iceland,2018-10-28,529924,12347,21739,6,2.95,2018,10,28
Iceland,2018-10-28,529924,12347,21741,6,2.95,2018,10,28
Iceland,2018-10-28,529924,12347,47594A,6,1.9500000000000002,2018,10,28
Iceland,2018-10-28,529924,12347,20966,10,1.25,2018,10,28
Iceland,2018-10-28,529924,12347,72819,6,2.55,2018,10,28
Iceland,2018-10-28,529924,12347,35471D,12,1.25,2018,10,28
Iceland,2018-10-28,529924,12347,22244,12,1.9500000000000002,2018,10,28
Iceland,2018-10-28,529924,12347,22245,12,0.85,2018,10,28
Iceland,2018-10-28,529924,12347,22422,12,0.65,2018,10,28
Iceland,2018-10-28,529924,12347,22418,11,0.85,2018,10,28
Iceland,2018-10-28,529924,12347,22699,6,2.95,2018,10,28
Iceland,2018-10-28,529924,12347,22698,6,2.95,2018,10,28
Iceland,2018-10-28,529924,12347,20985,12,1.25,2018,10,28
Iceland,2018-10-28,529924,12347,21976,14,0.55,2018,10,28
Iceland,2018-12-04,537626,12347,22725,4,3.75,2018,12,4
Iceland,2018-12-04,537626,12347,22805,12,1.25,2018,12,4
Iceland,2018-12-04,537626,12347,22775,12,1.25,2018,12,4
Iceland,2018-12-04,537626,12347,22774,12,1.25,2018,12,4
Iceland,2018-12-04,537626,12347,22773,12,1.25,2018,12,4
Iceland,2018-12-04,537626,12347,22772,12,1.25,2018,12,4
Iceland,2018-12-04,537626,12347,22771,12,1.25,2018,12,4
Iceland,2018-12-04,537626,12347,22492,14,0.65,2018,12,4
Iceland,2018-12-04,537626,12347,71477,12,3.25,2018,12,4
Iceland,2018-12-04,537626,12347,22375,4,4.25,2018,12,4
Iceland,2018-12-04,537626,12347,85116,12,2.1,2018,12,4
Iceland,2018-12-04,537626,12347,22726,4,3.75,2018,12,4
Iceland,2018-12-04,537626,12347,22727,4,3.75,2018,12,4
Iceland,2018-12-04,537626,12347,22728,4,3.75,2018,12,4
Iceland,2018-12-04,537626,12347,22729,4,3.75,2018,12,4
Iceland,2018-12-04,537626,12347,20782,6,5.49,2018,12,4
Iceland,2018-12-04,537626,12347,20780,12,4.65,2018,12,4
Iceland,2018-12-04,537626,12347,84558A,15,2.95,2018,12,4
Iceland,2018-12-04,537626,12347,21731,12,1.65,2018,12,4
Iceland,2018-12-04,537626,12347,21064,6,5.95,2018,12,4
Iceland,2018-12-04,537626,12347,85232D,3,4.95,2018,12,4
Iceland,2018-12-04,537626,12347,22494,12,1.25,2018,12,4
Iceland,2018-12-04,537626,12347,84997D,6,3.75,2018,12,4
Iceland,2018-12-04,537626,12347,84997B,6,3.75,2018,12,4
Iceland,2018-12-04,537626,12347,84997C,6,3.75,2018,12,4
Iceland,2018-12-04,537626,12347,84969,6,4.25,2018,12,4
Iceland,2018-12-04,537626,12347,22195,12,1.65,2018,12,4
Iceland,2018-12-04,537626,12347,21171,12,1.45,2018,12,4
Iceland,2018-12-04,537626,12347,22212,6,2.1,2018,12,4
Iceland,2018-12-04,537626,12347,22497,4,4.25,2018,12,4
Iceland,2018-12-04,537626,12347,85167B,14,1.25,2018,12,4
Iceland,2018-12-04,537626,12347,22492,17,0.65,2018,12,4
Iceland,2019-01-23,542237,12347,84625C,2,0.85,2019,1,23
Iceland,2019-01-23,542237,12347,84625A,20,0.85,2019,1,23
Iceland,2019-01-23,542237,12347,85116,6,2.1,2019,1,23
Iceland,2019-01-23,542237,12347,20719,10,0.85,2019,1,23
Iceland,2019-01-23,542237,12347,22376,4,4.25,2019,1,23
Iceland,2019-01-23,542237,12347,21035,6,2.95,2019,1,23
Iceland,2019-01-23,542237,12347,21041,6,2.95,2019,1,23
Iceland,2019-01-23,542237,12347,21154,10,1.25,2019,1,23
Iceland,2019-01-23,542237,12347,47559B,10,1.25,2019,1,23
Iceland,2019-01-23,542237,12347,21976,13,0.55,2019,1,23
Iceland,2019-01-23,542237,12347,84969,6,4.25,2019,1,23
Iceland,2019-01-23,542237,12347,84991,20,0.55,2019,1,23
Iceland,2019-01-23,542237,12347,22196,12,0.85,2019,1,23
Iceland,2019-01-23,542237,12347,22729,4,3.75,2019,1,23
Iceland,2019-01-23,542237,12347,22728,4,3.75,2019,1,23
Iceland,2019-01-23,542237,12347,22727,4,3.75,2019,1,23
Iceland,2019-01-23,542237,12347,22726,4,3.75,2019,1,23
Iceland,2019-01-23,542237,12347,22725,4,3.75,2019,1,23
Iceland,2019-01-23,542237,12347,20966,10,1.25,2019,1,23
Iceland,2019-01-23,542237,12347,84992,13,0.55,2019,1,23
Iceland,2019-01-23,542237,12347,22134,12,0.42,2019,1,23
Iceland,2019-01-23,542237,12347,21832,12,1.65,2019,1,23
Iceland,2019-01-23,542237,12347,22422,12,0.65,2019,1,23
Iceland,2019-01-23,542237,12347,84558A,12,2.95,2019,1,23
Iceland,2019-01-23,542237,12347,21731,12,1.65,2019,1,23
Iceland,2019-01-23,542237,12347,22497,4,4.25,2019,1,23
Iceland,2019-01-23,542237,12347,22375,4,4.25,2019,1,23
Iceland,2019-04-04,549222,12347,22497,4,4.25,2019,4,4
Iceland,2019-04-04,549222,12347,22821,12,0.65,2019,4,4
Iceland,2019-04-04,549222,12347,84559B,12,0.85,2019,4,4
Iceland,2019-04-04,549222,12347,84559A,12,0.85,2019,4,4
Iceland,2019-04-04,549222,12347,22492,16,0.65,2019,4,4
Iceland,2019-04-04,549222,12347,21731,12,1.65,2019,4,4
Iceland,2019-04-04,549222,12347,22699,6,2.95,2019,4,4
Iceland,2019-04-04,549222,12347,21041,6,2.95,2019,4,4
Iceland,2019-04-04,549222,12347,21975,8,0.55,2019,4,4
Iceland,2019-04-04,549222,12347,22196,12,0.85,2019,4,4
Iceland,2019-04-04,549222,12347,22195,12,1.65,2019,4,4
Iceland,2019-04-04,549222,12347,22774,12,1.25,2019,4,4
Iceland,2019-04-04,549222,12347,23177,8,2.25,2019,4,4
Iceland,2019-04-04,549222,12347,22550,8,3.75,2019,4,4
Iceland,2019-04-04,549222,12347,21791,12,1.25,2019,4,4
Iceland,2019-04-04,549222,12347,20665,6,2.95,2019,4,4
Iceland,2019-04-04,549222,12347,22375,4,4.25,2019,4,4
Iceland,2019-04-04,549222,12347,22371,4,4.25,2019,4,4
Iceland,2019-04-04,549222,12347,22374,4,4.25,2019,4,4
Iceland,2019-04-04,549222,12347,22376,4,4.25,2019,4,4
Iceland,2019-04-04,549222,12347,22432,6,1.9500000000000002,2019,4,4
Iceland,2019-04-04,549222,12347,16008,9,0.25,2019,4,4
Iceland,2019-06-06,556201,12347,23174,4,4.15,2019,6,6
Iceland,2019-06-06,556201,12347,23170,12,1.65,2019,6,6
Iceland,2019-06-06,556201,12347,23172,12,1.65,2019,6,6
Iceland,2019-06-06,556201,12347,23171,12,1.65,2019,6,6
Iceland,2019-06-06,556201,12347,23162,8,3.75,2019,6,6
Iceland,2019-06-06,556201,12347,23084,12,2.08,2019,6,6
Iceland,2019-06-06,556201,12347,23175,4,3.25,2019,6,6
Iceland,2019-06-06,556201,12347,22371,8,4.25,2019,6,6
Iceland,2019-06-06,556201,12347,85178,12,1.25,2019,6,6
Iceland,2019-06-06,556201,12347,22375,4,4.25,2019,6,6
Iceland,2019-06-06,556201,12347,22725,4,3.75,2019,6,6
Iceland,2019-06-06,556201,12347,22727,8,3.75,2019,6,6
Iceland,2019-06-06,556201,12347,51014C,12,0.85,2019,6,6
Iceland,2019-06-06,556201,12347,84558A,1,2.95,2019,6,6
Iceland,2019-06-06,556201,12347,22196,13,0.85,2019,6,6
Iceland,2019-06-06,556201,12347,17021,20,0.30000000000000004,2019,6,6
Iceland,2019-06-06,556201,12347,23146,4,3.29,2019,6,6
Iceland,2019-07-30,562032,12347,21975,16,0.55,2019,7,30
Iceland,2019-07-30,562032,12347,84992,21,0.55,2019,7,30
Iceland,2019-07-30,562032,12347,47559B,10,1.25,2019,7,30
Iceland,2019-07-30,562032,12347,23147,12,1.45,2019,7,30
Iceland,2019-07-30,562032,12347,23146,4,3.29,2019,7,30
Iceland,2019-07-30,562032,12347,22727,8,3.75,2019,7,30
Iceland,2019-07-30,562032,12347,20719,10,0.85,2019,7,30
Iceland,2019-07-30,562032,12347,21578,6,2.25,2019,7,30
Iceland,2019-07-30,562032,12347,22372,4,4.25,2019,7,30
Iceland,2019-07-30,562032,12347,22371,8,4.25,2019,7,30
Iceland,2019-07-30,562032,12347,22376,4,4.25,2019,7,30
Iceland,2019-07-30,562032,12347,22374,4,4.25,2019,7,30
Iceland,2019-07-30,562032,12347,22375,4,4.25,2019,7,30
Iceland,2019-07-30,562032,12347,23297,19,1.65,2019,7,30
Iceland,2019-07-30,562032,12347,23175,4,3.25,2019,7,30
Iceland,2019-07-30,562032,12347,84558A,12,2.95,2019,7,30
Iceland,2019-07-30,562032,12347,22992,12,1.9500000000000002,2019,7,30
Iceland,2019-07-30,562032,12347,21791,21,1.25,2019,7,30
