country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Israel,2018-06-28,514221,12653,22426,14,2.95,2018,6,28
Israel,2018-06-28,514221,12653,22427,16,5.45,2018,6,28
Israel,2018-06-28,514221,12653,21272,21,1.25,2018,6,28
Israel,2018-06-28,514221,12653,22212,12,2.1,2018,6,28
Israel,2018-06-28,514221,12653,84406B,12,3.25,2018,6,28
Israel,2018-06-28,514221,12653,20749,12,6.35,2018,6,28
Israel,2018-06-28,514221,12653,21238,4,0.85,2018,6,28
Israel,2018-06-28,514221,12653,21212,20,0.55,2018,6,28
Israel,2018-06-28,514221,12653,85232B,6,4.25,2018,6,28
Israel,2018-06-28,514221,12653,85232D,13,4.25,2018,6,28
Israel,2018-06-28,514221,12653,20867,1,1.25,2018,6,28
Israel,2018-06-28,514221,12653,21210,19,1.45,2018,6,28
Israel,2018-06-28,514221,12653,22483,9,2.55,2018,6,28
Israel,2018-06-28,514221,12653,22507,19,4.25,2018,6,28
Israel,2018-06-28,514221,12653,22256,12,1.25,2018,6,28
Israel,2018-06-28,514221,12653,21239,7,0.85,2018,6,28
Israel,2018-06-28,514221,12653,21240,2,0.85,2018,6,28
Israel,2018-06-28,514221,12653,21241,3,0.85,2018,6,28
Israel,2018-06-28,514221,12653,21242,12,1.69,2018,6,28
Israel,2018-06-28,514221,12653,21244,4,1.69,2018,6,28
Israel,2018-06-28,514221,12653,20665,8,2.95,2018,6,28
Israel,2018-06-28,514221,12653,22219,20,0.85,2018,6,28
Israel,2018-06-28,514221,12653,84584,6,2.55,2018,6,28
Israel,2018-06-28,514221,12653,22399,2,1.25,2018,6,28
Israel,2018-06-28,514221,12653,22356,10,0.85,2018,6,28
Israel,2018-06-28,514221,12653,22216,3,0.85,2018,6,28
Israel,2018-06-28,514221,12653,21363,12,4.95,2018,6,28
Israel,2018-06-28,514221,12653,21578,8,2.25,2018,6,28
Israel,2018-06-28,514221,12653,20981,12,0.85,2018,6,28
Israel,2018-06-28,514221,12653,21936,6,2.95,2018,6,28
Israel,2018-06-28,514221,12653,20724,10,0.85,2018,6,28
Israel,2018-06-28,514221,12653,20750,12,6.35,2018,6,28
Israel,2018-06-28,514221,12653,20983,21,0.85,2018,6,28
Israel,2018-06-28,514221,12653,20718,10,1.25,2018,6,28
Israel,2018-06-28,514221,12653,22329,12,1.65,2018,6,28
Israel,2018-06-28,514221,12653,22508,6,3.75,2018,6,28
