country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Korea,2018-09-12,522570,12768,22835,4,4.65,2018,9,12
Korea,2018-09-12,522570,12768,22378,5,2.1,2018,9,12
Korea,2018-09-12,522570,12768,85174,4,4.95,2018,9,12
Korea,2018-09-12,522570,12768,84625A,6,2.95,2018,9,12
Korea,2018-09-12,522570,12768,84625C,6,2.95,2018,9,12
Korea,2018-09-12,522570,12768,20941,12,1.25,2018,9,12
Korea,2018-09-12,522570,12768,22367,8,1.9500000000000002,2018,9,12
Korea,2018-09-12,522570,12768,85123A,6,2.95,2018,9,12
Korea,2018-10-01,525217,12768,22835,2,4.65,2018,10,1
Korea,2018-10-01,525217,12768,22378,3,2.1,2018,10,1
Korea,2018-10-01,525217,12768,85123A,4,2.95,2018,10,1
Korea,2018-10-01,525217,12768,85174,1,4.95,2018,10,1
Korea,2018-10-01,525217,12768,84625C,4,2.95,2018,10,1
Korea,2018-10-01,525217,12768,84625A,1,2.95,2018,10,1
Korea,2018-10-01,525217,12768,85118,3,0.38,2018,10,1
Korea,2018-11-26,535831,12767,21014,12,0.85,2018,11,26
Korea,2018-11-26,535831,12767,21015,12,0.85,2018,11,26
Korea,2018-11-26,535831,12767,21369,8,1.25,2018,11,26
Korea,2018-11-26,535831,12767,21371,12,0.85,2018,11,26
Korea,2018-11-26,535831,12767,21374,2,1.25,2018,11,26
Korea,2018-11-26,535831,12767,21373,13,0.85,2018,11,26
Korea,2018-11-26,535831,12767,35598D,12,1.25,2018,11,26
Korea,2018-11-26,535831,12767,35598B,6,2.95,2018,11,26
Korea,2018-11-26,535831,12767,21261,6,2.95,2018,11,26
Korea,2018-11-26,535831,12767,21262,6,2.95,2018,11,26
Korea,2018-11-26,535831,12767,72598,12,0.85,2018,11,26
Korea,2018-11-26,535831,12767,22811,6,2.95,2018,11,26
Korea,2018-11-26,535831,12767,72741,9,1.45,2018,11,26
Korea,2018-11-26,535831,12767,85174,8,4.95,2018,11,26
Korea,2018-11-26,535831,12767,21609,6,2.95,2018,11,26
Korea,2018-11-26,535831,12767,21613,6,2.95,2018,11,26
Korea,2018-11-26,535831,12767,21614,5,2.95,2018,11,26
Korea,2018-11-26,535831,12767,85231B,12,0.85,2018,11,26
Korea,2018-11-26,535831,12767,85231G,12,0.85,2018,11,26
Korea,2018-11-26,535831,12767,85040A,12,1.65,2018,11,26
Korea,2018-11-26,535831,12767,84347,9,2.55,2018,11,26
Korea,2018-11-26,535831,12767,85038,6,2.1,2018,11,26
Korea,2018-11-26,535831,12767,22735,10,1.65,2018,11,26
Korea,2018-11-26,535831,12767,22736,10,1.65,2018,11,26
Korea,2018-11-26,535831,12767,22738,10,1.65,2018,11,26
Korea,2018-11-26,535831,12767,22739,10,1.65,2018,11,26
Korea,2018-11-26,535831,12767,22812,2,1.9500000000000002,2018,11,26
Korea,2018-11-26,535831,12767,21494,12,1.25,2018,11,26
Korea,2018-11-26,535831,12767,22909,11,0.85,2018,11,26
Korea,2018-11-26,535831,12767,35599D,6,2.95,2018,11,26
Korea,2018-11-26,535831,12767,21713,8,2.1,2018,11,26
Korea,2018-11-26,535831,12767,21714,12,1.25,2018,11,26
Korea,2018-11-26,535831,12767,22492,11,0.65,2018,11,26
Korea,2018-11-26,535831,12767,21380,6,2.95,2018,11,26
Korea,2018-11-26,535831,12767,21381,12,1.69,2018,11,26
Korea,2018-11-26,535831,12767,47590A,6,5.45,2018,11,26
Korea,2018-11-26,535831,12767,47590B,6,5.45,2018,11,26
Korea,2018-11-26,535831,12767,21201,15,2.1,2018,11,26
Korea,2018-11-26,535831,12767,21470,6,3.75,2018,11,26
Korea,2018-11-26,535831,12767,21471,6,3.75,2018,11,26
Korea,2018-11-26,535831,12767,21467,6,3.75,2018,11,26
