country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Lebanon,2018-09-10,522200,,22553,12,1.65,2018,9,10
Lebanon,2018-09-10,522200,,20749,2,7.95,2018,9,10
Lebanon,2018-09-10,522200,,22380,5,2.1,2018,9,10
Lebanon,2018-09-10,522200,,20727,10,1.65,2018,9,10
Lebanon,2018-09-10,522200,,22557,12,1.65,2018,9,10
Lebanon,2018-09-10,522200,,22475,3,4.95,2018,9,10
Lebanon,2018-09-10,522200,,22473,3,4.95,2018,9,10
Lebanon,2018-09-10,522200,,22384,10,1.65,2018,9,10
Lebanon,2018-09-10,522200,,22327,6,2.95,2018,9,10
Lebanon,2018-09-10,522200,,22381,5,2.1,2018,9,10
Lebanon,2018-09-10,522200,,22139,3,4.95,2018,9,10
Lebanon,2019-01-24,542276,12764,22957,12,2.95,2019,1,24
Lebanon,2019-01-24,542276,12764,22960,12,3.75,2019,1,24
Lebanon,2019-01-24,542276,12764,22652,10,1.65,2019,1,24
Lebanon,2019-01-24,542276,12764,22846,4,14.95,2019,1,24
Lebanon,2019-01-24,542276,12764,22842,12,5.95,2019,1,24
Lebanon,2019-01-24,542276,12764,21523,4,7.95,2019,1,24
Lebanon,2019-01-24,542276,12764,22606,8,12.75,2019,1,24
Lebanon,2019-01-24,542276,12764,82552,12,1.45,2019,1,24
Lebanon,2019-01-24,542276,12764,22831,6,2.95,2019,1,24
Lebanon,2019-01-24,542276,12764,22241,12,1.25,2019,1,24
Lebanon,2019-01-24,542276,12764,21784,4,9.95,2019,1,24
Lebanon,2019-01-24,542276,12764,21781,4,14.95,2019,1,24
Lebanon,2019-01-24,542276,12764,85066,8,12.75,2019,1,24
Lebanon,2019-01-24,542276,12764,22168,6,8.5,2019,1,24
Lebanon,2019-01-24,542276,12764,22423,12,12.75,2019,1,24
Lebanon,2019-01-24,542276,12764,22722,12,3.95,2019,1,24
Lebanon,2019-01-24,542276,12764,22723,8,3.95,2019,1,24
Lebanon,2019-01-24,542276,12764,85150,6,2.55,2019,1,24
Lebanon,2019-01-24,542276,12764,22720,12,4.95,2019,1,24
Lebanon,2019-01-24,542276,12764,22966,12,1.25,2019,1,24
Lebanon,2019-01-24,542276,12764,84929,10,0.55,2019,1,24
Lebanon,2019-01-24,542276,12764,22922,12,0.85,2019,1,24
Lebanon,2019-01-24,542276,12764,82551,12,1.45,2019,1,24
Lebanon,2019-01-24,542276,12764,21165,12,1.69,2019,1,24
Lebanon,2019-01-24,542276,12764,21906,12,6.75,2019,1,24
Lebanon,2019-01-24,542276,12764,21260,12,3.25,2019,1,24
Lebanon,2019-01-24,542276,12764,22904,6,2.95,2019,1,24
Lebanon,2019-01-24,542276,12764,22588,12,2.55,2019,1,24
Lebanon,2019-01-24,542276,12764,22845,2,6.35,2019,1,24
Lebanon,2019-01-24,542276,12764,22350,6,2.55,2019,1,24
Lebanon,2019-01-24,542276,12764,22349,6,3.75,2019,1,24
Lebanon,2019-01-24,542276,12764,22854,8,4.95,2019,1,24
Lebanon,2019-01-24,542276,12764,35810B,6,2.1,2019,1,24
Lebanon,2019-01-24,542276,12764,22844,2,8.5,2019,1,24
Lebanon,2019-01-24,542276,12764,22282,4,12.75,2019,1,24
Lebanon,2019-01-24,542276,12764,22788,4,9.95,2019,1,24
Lebanon,2019-01-24,542276,12764,21272,12,1.25,2019,1,24
Lebanon,2019-01-24,542276,12764,82484,3,6.45,2019,1,24
Lebanon,2019-01-24,542276,12764,47566,15,4.65,2019,1,24
Lebanon,2019-01-24,542276,12764,22169,4,8.5,2019,1,24
Lebanon,2019-01-24,542276,12764,82494L,6,2.95,2019,1,24
Lebanon,2019-01-24,542276,12764,82482,6,2.55,2019,1,24
Lebanon,2019-01-24,542276,12764,21756,6,5.95,2019,1,24
Lebanon,2019-01-24,542276,12764,21754,6,5.95,2019,1,24
Lebanon,2019-01-24,542276,12764,82600,12,2.1,2019,1,24
