country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Malta,2018-01-29,496463,15480,21908,6,2.1,2018,1,29
Malta,2018-01-29,496463,15480,72741,13,1.25,2018,1,29
Malta,2018-01-29,496463,15480,15060B,4,3.75,2018,1,29
Malta,2018-01-29,496463,15480,85178,3,0.85,2018,1,29
Malta,2018-01-29,496463,15480,85014D,3,5.95,2018,1,29
Malta,2018-01-29,496463,15480,21108,9,2.55,2018,1,29
Malta,2018-01-29,496463,15480,21106,6,2.95,2018,1,29
Malta,2018-01-29,496463,15480,21790,16,0.72,2018,1,29
Malta,2018-01-29,496463,15480,22301,6,2.55,2018,1,29
Malta,2018-01-29,496463,15480,22115,6,2.95,2018,1,29
Malta,2018-01-29,496463,15480,21164,6,2.95,2018,1,29
Malta,2018-01-29,496463,15480,82597,12,2.1,2018,1,29
Malta,2018-01-29,496463,15480,85015,6,2.55,2018,1,29
Malta,2018-01-29,496463,15480,21508,12,0.42,2018,1,29
Malta,2018-01-29,496463,15480,21107,6,2.95,2018,1,29
Malta,2018-01-29,496463,15480,48173C,2,6.75,2018,1,29
Malta,2018-01-29,496463,15480,21523,2,6.75,2018,1,29
Malta,2018-01-29,496463,15480,21524,2,6.75,2018,1,29
Malta,2018-01-29,496463,15480,48184,2,6.75,2018,1,29
Malta,2018-01-29,496463,15480,48187,2,6.75,2018,1,29
Malta,2018-01-29,496463,15480,48185,2,6.75,2018,1,29
Malta,2018-01-29,496463,15480,22025,12,0.42,2018,1,29
Malta,2018-01-29,496463,15480,21874,12,1.25,2018,1,29
Malta,2018-01-29,496463,15480,37502,6,2.95,2018,1,29
Malta,2018-01-29,496463,15480,84279B,4,3.75,2018,1,29
Malta,2018-01-29,496463,15480,37501,3,6.95,2018,1,29
Malta,2018-01-29,496463,15480,37500,2,9.95,2018,1,29
Malta,2018-01-29,496463,15480,21765,2,7.95,2018,1,29
Malta,2018-01-29,496463,15480,21577,6,2.25,2018,1,29
Malta,2018-01-29,496463,15480,21576,6,2.25,2018,1,29
Malta,2018-01-29,496463,15480,21955,2,6.75,2018,1,29
Malta,2018-01-29,496463,15480,22023,12,0.42,2018,1,29
Malta,2018-01-29,496463,15480,22027,12,0.42,2018,1,29
Malta,2018-01-29,496463,15480,22037,12,0.42,2018,1,29
Malta,2018-01-29,496463,15480,22300,6,2.55,2018,1,29
Malta,2018-01-29,496463,15480,21770,2,4.95,2018,1,29
Malta,2018-01-29,496463,15480,22046,17,0.42,2018,1,29
Malta,2018-01-29,496463,15480,22048,4,0.42,2018,1,29
Malta,2018-01-29,496463,15480,22030,12,0.42,2018,1,29
Malta,2018-01-29,496463,15480,21519,12,0.42,2018,1,29
Malta,2018-01-29,496463,15480,22028,12,0.42,2018,1,29
Malta,2018-01-29,496463,15480,22024,12,0.42,2018,1,29
Malta,2018-01-29,496463,15480,22026,12,0.42,2018,1,29
Malta,2018-01-29,496463,15480,21871,12,1.25,2018,1,29
Malta,2018-08-24,520680,15480,47585A,4,3.75,2018,8,24
Malta,2018-08-24,520680,15480,37501,3,6.95,2018,8,24
Malta,2018-08-24,520680,15480,37495,4,3.75,2018,8,24
Malta,2018-08-24,520680,15480,48188,2,7.49,2018,8,24
Malta,2018-08-24,520680,15480,84944,4,4.25,2018,8,24
Malta,2018-08-24,520680,15480,72799F,6,2.95,2018,8,24
Malta,2018-08-24,520680,15480,72816,12,1.25,2018,8,24
Malta,2018-08-24,520680,15480,84247E,6,2.95,2018,8,24
Malta,2018-08-24,520680,15480,84251G,12,0.19,2018,8,24
Malta,2018-08-24,520680,15480,85087,6,2.95,2018,8,24
Malta,2018-08-24,520680,15480,84509B,4,3.75,2018,8,24
Malta,2018-08-24,520680,15480,84509G,4,3.75,2018,8,24
Malta,2018-08-24,520680,15480,85014A,3,5.95,2018,8,24
Malta,2018-08-24,520680,15480,85014B,3,5.95,2018,8,24
Malta,2018-08-24,520680,15480,85035C,4,4.25,2018,8,24
Malta,2018-08-24,520680,15480,85035A,4,4.25,2018,8,24
Malta,2018-08-24,520680,15480,85035B,4,4.25,2018,8,24
Malta,2018-08-24,520680,15480,72799E,6,2.95,2018,8,24
Malta,2018-08-24,520680,15480,85124C,6,2.55,2018,8,24
Malta,2018-08-24,520680,15480,85159B,2,6.35,2018,8,24
Malta,2018-08-24,520680,15480,22443,2,7.95,2018,8,24
Malta,2018-08-24,520680,15480,20671,8,1.25,2018,8,24
Malta,2018-08-24,520680,15480,22111,3,4.95,2018,8,24
Malta,2018-08-24,520680,15480,22114,4,3.95,2018,8,24
Malta,2018-08-24,520680,15480,22139,3,4.95,2018,8,24
Malta,2018-08-24,520680,15480,22283,2,7.95,2018,8,24
Malta,2018-08-24,520680,15480,22300,12,2.55,2018,8,24
Malta,2018-08-24,520680,15480,22301,12,2.55,2018,8,24
Malta,2018-08-24,520680,15480,22306,6,1.9500000000000002,2018,8,24
Malta,2018-08-24,520680,15480,22307,6,1.9500000000000002,2018,8,24
Malta,2018-08-24,520680,15480,22366,2,7.49,2018,8,24
Malta,2018-08-24,520680,15480,22430,4,4.95,2018,8,24
Malta,2018-08-24,520680,15480,22441,8,2.1,2018,8,24
Malta,2018-08-24,520680,15480,22571,12,0.85,2018,8,24
Malta,2018-08-24,520680,15480,22071,6,3.75,2018,8,24
Malta,2018-08-24,520680,15480,22572,12,0.85,2018,8,24
Malta,2018-08-24,520680,15480,22574,12,0.85,2018,8,24
Malta,2018-08-24,520680,15480,22576,12,0.85,2018,8,24
Malta,2018-08-24,520680,15480,22593,12,0.85,2018,8,24
Malta,2018-08-24,520680,15480,22594,12,0.85,2018,8,24
Malta,2018-08-24,520680,15480,22595,12,0.85,2018,8,24
Malta,2018-08-24,520680,15480,22600,12,0.85,2018,8,24
Malta,2018-08-24,520680,15480,22601,12,0.85,2018,8,24
Malta,2018-08-24,520680,15480,22602,12,0.85,2018,8,24
Malta,2018-08-24,520680,15480,22603,12,0.85,2018,8,24
Malta,2018-08-24,520680,15480,22626,2,8.5,2018,8,24
Malta,2018-08-24,520680,15480,22624,2,8.5,2018,8,24
Malta,2018-08-24,520680,15480,22625,2,8.5,2018,8,24
Malta,2018-08-24,520680,15480,22573,12,0.85,2018,8,24
Malta,2018-08-24,520680,15480,22061,2,9.95,2018,8,24
Malta,2018-08-24,520680,15480,22059,12,1.49,2018,8,24
Malta,2018-08-24,520680,15480,22057,12,1.49,2018,8,24
Malta,2018-08-24,520680,15480,20674,8,1.25,2018,8,24
Malta,2018-08-24,520680,15480,20676,8,1.25,2018,8,24
Malta,2018-08-24,520680,15480,20677,8,1.25,2018,8,24
Malta,2018-08-24,520680,15480,21456,12,1.25,2018,8,24
Malta,2018-08-24,520680,15480,21457,12,1.25,2018,8,24
Malta,2018-08-24,520680,15480,21458,12,1.25,2018,8,24
Malta,2018-08-24,520680,15480,21506,12,0.42,2018,8,24
Malta,2018-08-24,520680,15480,21507,12,0.42,2018,8,24
Malta,2018-08-24,520680,15480,21509,12,0.42,2018,8,24
Malta,2018-08-24,520680,15480,21527,2,7.95,2018,8,24
Malta,2018-08-24,520680,15480,21531,6,2.55,2018,8,24
Malta,2018-08-24,520680,15480,21535,6,2.55,2018,8,24
Malta,2018-08-24,520680,15480,21547,6,2.95,2018,8,24
Malta,2018-08-24,520680,15480,21548,6,2.95,2018,8,24
Malta,2018-08-24,520680,15480,21622,4,4.95,2018,8,24
Malta,2018-08-24,520680,15480,21706,4,4.95,2018,8,24
Malta,2018-08-24,520680,15480,21707,4,4.95,2018,8,24
Malta,2018-08-24,520680,15480,21708,4,4.95,2018,8,24
Malta,2018-08-24,520680,15480,21710,4,4.95,2018,8,24
Malta,2018-08-24,520680,15480,21711,4,4.95,2018,8,24
Malta,2018-08-24,520680,15480,21784,2,9.95,2018,8,24
Malta,2018-08-24,520680,15480,21873,12,1.25,2018,8,24
Malta,2018-08-24,520680,15480,22024,12,0.42,2018,8,24
Malta,2018-08-24,520680,15480,22028,12,0.42,2018,8,24
Malta,2018-08-24,520680,15480,22030,12,0.42,2018,8,24
Malta,2018-08-24,520680,15480,22034,12,0.42,2018,8,24
Malta,2018-08-24,520680,15480,22035,12,0.42,2018,8,24
Malta,2018-08-24,520680,15480,22042,12,0.42,2018,8,24
Malta,2018-08-24,520680,15480,15060B,4,3.75,2018,8,24
Malta,2018-08-24,520680,15480,22635,2,9.95,2018,8,24
Malta,2018-08-24,520680,15480,22636,2,8.5,2018,8,24
Malta,2018-08-24,520680,15480,22660,2,7.49,2018,8,24
Malta,2018-08-24,520680,15480,22649,8,4.95,2018,8,24
Malta,2018-08-24,520680,15480,21398,6,2.1,2018,8,24
Malta,2018-08-24,520680,15480,21399,6,2.1,2018,8,24
Malta,2018-08-24,520680,15480,21518,12,0.42,2018,8,24
Malta,2018-08-24,520680,15480,21393,6,2.1,2018,8,24
Malta,2018-08-24,520680,15480,21392,6,2.1,2018,8,24
Malta,2018-08-24,520680,15480,21245,8,1.69,2018,8,24
Malta,2018-08-24,520680,15480,21243,8,1.69,2018,8,24
Malta,2018-08-24,520680,15480,22692,2,7.49,2018,8,24
Malta,2018-08-24,520680,15480,22697,12,2.95,2018,8,24
Malta,2018-08-24,520680,15480,22698,12,2.95,2018,8,24
Malta,2018-08-24,520680,15480,22699,12,2.95,2018,8,24
Malta,2018-08-24,520680,15480,22712,12,0.42,2018,8,24
Malta,2018-08-24,520680,15480,22713,12,0.42,2018,8,24
Malta,2018-08-24,520680,15480,22714,12,0.42,2018,8,24
