country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Netherlands,2017-11-29,489889,14646,22271,20,2.55,2017,11,29
Netherlands,2017-11-29,489889,14646,22078,19,1.85,2017,11,29
Netherlands,2017-11-29,489889,14646,22082,14,1.45,2017,11,29
Netherlands,2017-11-29,489889,14646,22149,2,2.1,2017,11,29
Netherlands,2017-11-29,489889,14646,22294,14,1.06,2017,11,29
Netherlands,2017-11-29,489889,14646,20914,5,2.55,2017,11,29
Netherlands,2017-11-29,489889,14646,35961,3,0.72,2017,11,29
Netherlands,2017-11-29,489889,14646,22335,22,0.55,2017,11,29
Netherlands,2017-11-29,489889,14646,22337,7,0.55,2017,11,29
Netherlands,2017-11-29,489889,14646,85123A,2,2.55,2017,11,29
Netherlands,2017-11-29,489889,14646,22336,11,0.55,2017,11,29
Netherlands,2017-11-29,489889,14646,21841,1,3.75,2017,11,29
Netherlands,2017-11-29,489889,14646,21531,9,2.1,2017,11,29
Netherlands,2017-11-29,489889,14646,21243,11,1.45,2017,11,29
Netherlands,2017-11-29,489889,14646,84836,19,1.06,2017,11,29
Netherlands,2017-11-29,489889,14646,22273,19,2.55,2017,11,29
Netherlands,2017-11-29,489890,14646,22343,8,0.85,2017,11,29
Netherlands,2017-11-29,489890,14646,22149,2,2.1,2017,11,29
Netherlands,2017-11-29,489890,14646,71477,24,2.75,2017,11,29
Netherlands,2017-11-29,489889,14646,21077,5,0.64,2017,11,29
Netherlands,2017-12-01,490158,12759,84988,12,1.45,2017,12,1
Netherlands,2017-12-01,490158,12759,84986B,12,1.45,2017,12,1
Netherlands,2017-12-01,490158,12759,20985,12,1.25,2017,12,1
Netherlands,2017-12-01,490158,12759,85123A,12,2.95,2017,12,1
Netherlands,2017-12-01,490158,12759,84836,12,1.25,2017,12,1
Netherlands,2017-12-01,490158,12759,20941,12,1.25,2017,12,1
Netherlands,2017-12-01,490158,12759,21210,12,1.45,2017,12,1
Netherlands,2017-12-01,490158,12759,21214,12,1.45,2017,12,1
Netherlands,2017-12-01,490158,12759,21428,4,4.25,2017,12,1
Netherlands,2017-12-01,490158,12759,84990,5,0.55,2017,12,1
Netherlands,2017-12-01,490158,12759,21447,15,1.25,2017,12,1
Netherlands,2017-12-01,490158,12759,21491,6,1.9500000000000002,2017,12,1
Netherlands,2017-12-01,490158,12759,21733,12,2.95,2017,12,1
Netherlands,2017-12-01,490158,12759,22151,8,0.42,2017,12,1
Netherlands,2017-12-01,490158,12759,22162,8,2.95,2017,12,1
Netherlands,2017-12-01,490158,12759,22163,6,2.95,2017,12,1
Netherlands,2017-12-01,490158,12759,21446,12,1.25,2017,12,1
