country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Singapore,2018-04-24,506142,12744,21358,12,1.25,2018,4,24
Singapore,2018-04-24,506142,12744,21356,12,1.25,2018,4,24
Singapore,2018-04-24,506142,12744,22381,10,2.1,2018,4,24
Singapore,2018-04-24,506142,12744,20724,19,0.85,2018,4,24
Singapore,2018-04-24,506142,12744,22356,1,0.85,2018,4,24
Singapore,2018-04-24,506142,12744,21175,12,2.1,2018,4,24
Singapore,2018-04-24,506142,12744,21166,12,1.9500000000000002,2018,4,24
Singapore,2018-04-24,506142,12744,85150,12,2.55,2018,4,24
Singapore,2018-04-24,506142,12744,21755,3,5.95,2018,4,24
Singapore,2018-04-24,506142,12744,21756,3,5.95,2018,4,24
Singapore,2018-04-24,506142,12744,22121,3,5.95,2018,4,24
Singapore,2018-04-24,506142,12744,22119,3,6.95,2018,4,24
Singapore,2018-04-24,506142,12744,22379,10,2.1,2018,4,24
Singapore,2018-04-24,506142,12744,48138,4,7.49,2018,4,24
Singapore,2018-04-24,506142,12744,22366,2,7.49,2018,4,24
Singapore,2018-04-24,506142,12744,22365,2,7.49,2018,4,24
Singapore,2018-04-24,506142,12744,22086,14,2.95,2018,4,24
Singapore,2018-04-24,506142,12744,20972,6,1.25,2018,4,24
Singapore,2018-04-24,506142,12744,20971,8,1.25,2018,4,24
Singapore,2018-04-24,506142,12744,21888,8,3.75,2018,4,24
Singapore,2018-04-24,506142,12744,22409,12,1.25,2018,4,24
Singapore,2018-04-24,506142,12744,21524,2,7.49,2018,4,24
Singapore,2018-04-24,506142,12744,85099B,7,1.9500000000000002,2018,4,24
Singapore,2018-04-24,506142,12744,22386,7,1.9500000000000002,2018,4,24
Singapore,2018-04-24,506142,12744,47590B,12,5.45,2018,4,24
Singapore,2018-04-24,506142,12744,20681,12,3.25,2018,4,24
Singapore,2018-04-24,506142,12744,20682,12,3.25,2018,4,24
Singapore,2018-04-24,506142,12744,21181,12,2.1,2018,4,24
Singapore,2018-04-24,506142,12744,85123A,15,2.55,2018,4,24
Singapore,2018-04-24,506142,12744,21733,6,2.95,2018,4,24
Singapore,2018-04-24,506142,12744,72741,5,1.25,2018,4,24
Singapore,2018-04-24,506142,12744,47590A,6,5.45,2018,4,24
Singapore,2018-09-03,521403,12744,22380,3,2.1,2018,9,3
Singapore,2018-09-03,521403,12744,20685,2,7.49,2018,9,3
Singapore,2018-09-03,521403,12744,84946,12,1.25,2018,9,3
Singapore,2018-09-03,521403,12744,22668,5,2.95,2018,9,3
Singapore,2018-09-03,521403,12744,22669,5,2.95,2018,9,3
Singapore,2018-09-03,521403,12744,22694,6,2.1,2018,9,3
Singapore,2018-09-03,521403,12744,22654,4,5.95,2018,9,3
Singapore,2018-09-03,521403,12744,22651,19,0.85,2018,9,3
Singapore,2018-09-03,521403,12744,84782C,7,3.95,2018,9,3
Singapore,2018-09-03,521403,12744,21357,12,1.25,2018,9,3
Singapore,2018-09-03,521403,12744,35969,20,0.38,2018,9,3
Singapore,2018-09-03,521403,12744,21929,18,1.9500000000000002,2018,9,3
Singapore,2018-09-03,521403,12744,22385,18,1.9500000000000002,2018,9,3
Singapore,2018-09-03,521403,12744,22218,9,4.25,2018,9,3
Singapore,2018-09-03,521403,12744,21010,21,1.25,2018,9,3
Singapore,2018-09-03,521403,12744,21812,6,4.95,2018,9,3
Singapore,2018-09-03,521403,12744,22145,7,2.1,2018,9,3
Singapore,2018-09-03,521403,12744,22143,9,2.1,2018,9,3
Singapore,2018-09-03,521403,12744,22596,12,0.85,2018,9,3
Singapore,2018-09-03,521403,12744,22592,4,3.75,2018,9,3
Singapore,2018-09-03,521403,12744,85123A,12,2.55,2018,9,3
Singapore,2018-09-03,521403,12744,22589,6,2.55,2018,9,3
Singapore,2018-09-03,521403,12744,20684,12,3.25,2018,9,3
Singapore,2018-09-03,521403,12744,21791,12,1.25,2018,9,3
Singapore,2018-09-03,521404,12744,22642,10,2.1,2018,9,3
Singapore,2018-09-03,521404,12744,84832,12,0.85,2018,9,3
Singapore,2018-09-03,521404,12744,22457,6,2.95,2018,9,3
Singapore,2018-09-03,521404,12744,22666,6,2.95,2018,9,3
Singapore,2018-09-03,521404,12744,22197,12,0.85,2018,9,3
Singapore,2018-09-03,521404,12744,22198,12,1.65,2018,9,3
Singapore,2018-09-03,521404,12744,21651,12,1.65,2018,9,3
Singapore,2018-09-03,521403,12744,22215,8,8.5,2018,9,3
Singapore,2018-09-03,521403,12744,21349,2,6.75,2018,9,3
Singapore,2018-09-03,521403,12744,21350,6,2.95,2018,9,3
Singapore,2018-09-03,521403,12744,22335,17,0.65,2018,9,3
Singapore,2018-09-03,521403,12744,22338,9,0.65,2018,9,3
Singapore,2018-09-03,521403,12744,22336,3,0.65,2018,9,3
Singapore,2018-09-03,521403,12744,21143,1,1.9500000000000002,2018,9,3
Singapore,2018-09-03,521403,12744,21755,6,5.95,2018,9,3
Singapore,2018-09-03,521403,12744,21790,5,0.85,2018,9,3
Singapore,2018-09-03,521403,12744,21733,12,2.95,2018,9,3
Singapore,2018-09-03,521403,12744,22548,12,1.25,2018,9,3
Singapore,2018-09-03,521402,12744,22698,6,2.95,2018,9,3
Singapore,2018-09-03,521402,12744,22184,2,8.5,2018,9,3
Singapore,2018-09-03,521402,12744,21471,6,3.75,2018,9,3
Singapore,2018-09-03,521402,12744,22714,12,0.42,2018,9,3
Singapore,2018-09-03,521402,12744,22619,4,3.75,2018,9,3
Singapore,2018-09-03,521402,12744,22505,4,4.95,2018,9,3
Singapore,2018-09-03,521402,12744,21917,21,0.42,2018,9,3
Singapore,2018-09-03,521402,12744,21878,12,0.85,2018,9,3
Singapore,2018-09-03,521402,12744,21790,12,0.85,2018,9,3
Singapore,2018-09-03,521402,12744,22507,4,4.95,2018,9,3
Singapore,2018-09-03,521402,12744,22697,6,2.95,2018,9,3
Singapore,2018-09-03,521403,12744,22114,4,3.95,2018,9,3
Singapore,2018-09-03,521402,12744,22699,6,2.95,2018,9,3
Singapore,2018-09-03,521402,12744,22029,12,0.42,2018,9,3
Singapore,2018-09-03,521403,12744,21210,20,1.45,2018,9,3
Singapore,2018-09-03,521403,12744,22379,15,2.1,2018,9,3
Singapore,2018-09-03,521403,12744,22381,15,2.1,2018,9,3
Singapore,2018-09-03,521403,12744,22556,12,1.65,2018,9,3
Singapore,2018-09-03,521403,12744,22555,12,1.65,2018,9,3
Singapore,2018-09-03,521403,12744,22557,12,1.65,2018,9,3
Singapore,2018-09-03,521403,12744,22551,12,1.65,2018,9,3
Singapore,2018-09-03,521403,12744,21592,1,1.25,2018,9,3
Singapore,2018-09-03,521403,12744,21586,12,2.55,2018,9,3
Singapore,2018-09-03,521403,12744,21422,2,0.85,2018,9,3
Singapore,2018-09-03,521403,12744,21421,7,1.25,2018,9,3
Singapore,2018-09-03,521403,12744,85031C,20,1.25,2018,9,3
Singapore,2018-09-03,521403,12744,82600,12,2.1,2018,9,3
Singapore,2018-09-03,521403,12744,21179,12,1.25,2018,9,3
Singapore,2018-09-03,521403,12744,22294,3,1.25,2018,9,3
Singapore,2018-09-03,521403,12744,22494,12,1.25,2018,9,3
Singapore,2018-09-03,521403,12744,21936,15,2.95,2018,9,3
Singapore,2018-09-03,521403,12744,22222,9,4.95,2018,9,3
Singapore,2018-09-03,521402,12744,21519,12,0.42,2018,9,3
Singapore,2018-09-03,521402,12744,22149,6,2.1,2018,9,3
Singapore,2019-01-22,542102,12744,21471,6,3.75,2019,1,22
Singapore,2019-01-22,542102,12744,21465,6,3.75,2019,1,22
Singapore,2019-01-22,542102,12744,21756,6,5.95,2019,1,22
Singapore,2019-01-22,542102,12744,21755,5,5.45,2019,1,22
Singapore,2019-01-22,542102,12744,20972,4,1.25,2019,1,22
Singapore,2019-01-22,542102,12744,22969,9,1.45,2019,1,22
Singapore,2019-01-22,542102,12744,22960,12,3.75,2019,1,22
Singapore,2019-01-22,542102,12744,22346,17,0.21,2019,1,22
Singapore,2019-01-22,542102,12744,22345,18,0.21,2019,1,22
Singapore,2019-01-22,542102,12744,22343,21,0.21,2019,1,22
Singapore,2019-01-22,542102,12744,22699,6,2.95,2019,1,22
Singapore,2019-01-22,542102,12744,22697,6,2.95,2019,1,22
Singapore,2019-01-22,542102,12744,21519,13,0.36,2019,1,22
Singapore,2019-01-22,542102,12744,21469,6,3.75,2019,1,22
Singapore,2019-01-22,542102,12744,22348,13,0.85,2019,1,22
Singapore,2019-01-22,542102,12744,21791,12,1.25,2019,1,22
Singapore,2019-01-22,542102,12744,21790,14,0.72,2019,1,22
Singapore,2019-01-22,542102,12744,22499,12,5.95,2019,1,22
Singapore,2019-01-22,542102,12744,84988,12,1.45,2019,1,22
Singapore,2019-01-22,542102,12744,21086,20,0.65,2019,1,22
Singapore,2019-01-22,542102,12744,21354,5,1.25,2019,1,22
Singapore,2019-01-22,542102,12744,21355,12,1.25,2019,1,22
Singapore,2019-01-22,542102,12744,21356,12,1.25,2019,1,22
Singapore,2019-01-22,542102,12744,21358,12,1.25,2019,1,22
Singapore,2019-01-22,542102,12744,21212,8,0.55,2019,1,22
Singapore,2019-01-22,542102,12744,22202,4,3.75,2019,1,22
Singapore,2019-01-22,542102,12744,22203,4,3.75,2019,1,22
Singapore,2019-01-22,542102,12744,48138,10,6.75,2019,1,22
Singapore,2019-01-22,542102,12744,21094,11,0.85,2019,1,22
Singapore,2019-01-22,542102,12744,21936,9,2.95,2019,1,22
Singapore,2019-01-22,542102,12744,20685,10,6.75,2019,1,22
Singapore,2019-01-22,542102,12744,22197,2,0.72,2019,1,22
