country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Sweden,2017-12-06,491036,12487,21680,2,0.85,2017,12,6
Sweden,2017-12-06,491059,12487,21252,6,2.55,2017,12,6
Sweden,2017-12-06,491059,12487,21731,9,1.45,2017,12,6
Sweden,2018-01-04,493806,17404,22348,1,0.85,2018,1,4
Sweden,2018-01-04,493806,17404,22357,1,4.25,2018,1,4
Sweden,2018-01-04,493806,17404,22358,1,2.95,2018,1,4
Sweden,2018-01-17,494919,17404,21715,4,2.55,2018,1,17
Sweden,2018-01-17,494919,17404,21716,21,2.55,2018,1,17
Sweden,2018-01-17,494919,17404,22357,19,4.25,2018,1,17
Sweden,2018-01-17,494919,17404,22358,14,2.95,2018,1,17
Sweden,2018-01-17,494919,17404,22348,13,0.85,2018,1,17
Sweden,2018-01-17,494919,17404,21212,10,0.55,2018,1,17
Sweden,2018-01-17,494919,17404,21977,15,0.55,2018,1,17
Sweden,2018-01-17,494919,17404,84992,11,0.55,2018,1,17
Sweden,2018-01-17,494919,17404,84991,19,0.55,2018,1,17
Sweden,2018-01-28,496326,12483,47505,12,4.95,2018,1,28
Sweden,2018-01-28,496326,12483,22243,9,1.65,2018,1,28
Sweden,2018-01-28,496326,12483,22328,12,2.95,2018,1,28
Sweden,2018-01-28,496326,12483,85227,6,0.85,2018,1,28
Sweden,2018-01-28,496326,12483,85113,15,2.1,2018,1,28
Sweden,2018-01-28,496326,12483,22326,12,2.95,2018,1,28
Sweden,2018-02-07,497496,12483,20726,10,1.65,2018,2,7
Sweden,2018-02-07,497496,12483,22271,6,2.95,2018,2,7
Sweden,2018-02-13,498052,17404,22495,6,2.95,2018,2,13
Sweden,2018-02-13,498052,17404,22496,6,2.95,2018,2,13
Sweden,2018-02-13,498052,17404,85040A,12,1.65,2018,2,13
Sweden,2018-02-13,498052,17404,22378,6,2.1,2018,2,13
Sweden,2018-02-13,498052,17404,22497,6,4.25,2018,2,13
Sweden,2018-02-13,498052,17404,22494,12,1.25,2018,2,13
Sweden,2018-02-13,498052,17404,84987,15,1.45,2018,2,13
Sweden,2018-02-13,498052,17404,21210,6,1.45,2018,2,13
Sweden,2018-02-13,498052,17404,21977,15,0.55,2018,2,13
Sweden,2018-02-13,498052,17404,85232B,8,4.95,2018,2,13
Sweden,2018-02-13,498052,17404,84077,2,0.21,2018,2,13
Sweden,2018-02-21,498931,12482,22417,16,0.42,2018,2,21
Sweden,2018-02-21,498931,12482,21077,16,0.85,2018,2,21
Sweden,2018-02-21,498936,12482,22148,7,1.65,2018,2,21
Sweden,2018-02-21,498939,12482,22334,2,1.45,2018,2,21
Sweden,2018-02-21,498939,12482,22274,13,2.55,2018,2,21
Sweden,2018-02-21,498939,12482,22273,10,2.55,2018,2,21
Sweden,2018-02-21,498939,12482,20971,18,1.06,2018,2,21
Sweden,2018-02-21,498939,12482,22146,12,1.65,2018,2,21
Sweden,2018-02-21,498939,12482,22148,17,1.65,2018,2,21
Sweden,2018-02-21,498936,12482,22417,14,0.42,2018,2,21
Sweden,2018-02-21,498936,12482,84991,5,0.42,2018,2,21
Sweden,2018-02-21,498936,12482,21077,16,0.64,2018,2,21
