country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Thailand,2018-06-18,512955,12469,85017B,6,0.42,2018,6,18
Thailand,2018-06-18,512955,12469,22497,11,3.75,2018,6,18
Thailand,2018-06-18,512955,12469,21429,10,1.45,2018,6,18
Thailand,2018-06-18,512955,12469,21431,5,1.45,2018,6,18
Thailand,2018-06-18,512955,12469,21700,5,0.72,2018,6,18
Thailand,2018-06-18,512955,12469,85017A,18,0.42,2018,6,18
Thailand,2018-06-18,512955,12469,85017C,12,0.42,2018,6,18
Thailand,2018-06-18,512955,12469,22494,20,1.06,2018,6,18
Thailand,2018-07-02,514643,12469,84969,6,4.25,2018,7,2
Thailand,2018-07-02,514643,12469,84997A,6,3.75,2018,7,2
Thailand,2018-07-02,514643,12469,84997C,7,3.75,2018,7,2
Thailand,2018-07-02,514643,12469,84997D,8,3.75,2018,7,2
Thailand,2018-07-02,514643,12469,22304,6,2.55,2018,7,2
Thailand,2018-07-02,514643,12469,22305,6,2.55,2018,7,2
Thailand,2018-07-02,514643,12469,20666,6,2.95,2018,7,2
Thailand,2018-07-02,514643,12469,20662,6,2.95,2018,7,2
Thailand,2018-07-02,514643,12469,20665,6,2.95,2018,7,2
Thailand,2018-07-02,514643,12469,21051,12,2.1,2018,7,2
Thailand,2018-07-02,514643,12469,85049C,12,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,85232D,3,4.95,2018,7,2
Thailand,2018-07-02,514643,12469,85232B,3,4.95,2018,7,2
Thailand,2018-07-02,514643,12469,85232A,3,4.95,2018,7,2
Thailand,2018-07-02,514643,12469,47559B,10,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,47568,6,2.1,2018,7,2
Thailand,2018-07-02,514643,12469,84510A,10,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,84509A,4,3.75,2018,7,2
Thailand,2018-07-02,514643,12469,47567B,3,5.95,2018,7,2
Thailand,2018-07-02,514643,12469,85184C,6,2.95,2018,7,2
Thailand,2018-07-02,514643,12469,21947,12,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,85184D,6,2.95,2018,7,2
Thailand,2018-07-02,514643,12469,20617,6,2.1,2018,7,2
Thailand,2018-07-02,514643,12469,20619,6,2.1,2018,7,2
Thailand,2018-07-02,514643,12469,21865,6,2.1,2018,7,2
Thailand,2018-07-02,514643,12469,20653,12,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,20654,12,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,21867,12,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,20659,12,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,20657,12,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,20616,6,2.1,2018,7,2
Thailand,2018-07-02,514643,12469,21949,12,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,85114B,6,1.65,2018,7,2
Thailand,2018-07-02,514643,12469,22077,12,1.65,2018,7,2
Thailand,2018-07-02,514643,12469,85049F,12,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,85049G,12,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,20738,10,0.85,2018,7,2
Thailand,2018-07-02,514643,12469,21114,10,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,22277,6,2.1,2018,7,2
Thailand,2018-07-02,514643,12469,22276,6,2.55,2018,7,2
Thailand,2018-07-02,514643,12469,22280,6,2.1,2018,7,2
Thailand,2018-07-02,514643,12469,21990,6,2.95,2018,7,2
Thailand,2018-07-02,514643,12469,21992,6,2.95,2018,7,2
Thailand,2018-07-02,514643,12469,21993,6,2.95,2018,7,2
Thailand,2018-07-02,514643,12469,21577,6,2.25,2018,7,2
Thailand,2018-07-02,514643,12469,21576,6,2.25,2018,7,2
Thailand,2018-07-02,514643,12469,21578,6,2.25,2018,7,2
Thailand,2018-07-02,514643,12469,22320,3,5.95,2018,7,2
Thailand,2018-07-02,514643,12469,22325,3,4.95,2018,7,2
Thailand,2018-07-02,514643,12469,22318,6,2.95,2018,7,2
Thailand,2018-07-02,514643,12469,20854,10,1.65,2018,7,2
Thailand,2018-07-02,514643,12469,20857,10,1.65,2018,7,2
Thailand,2018-07-02,514643,12469,22252,12,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,21122,13,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,21123,7,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,21124,16,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,84988,12,1.45,2018,7,2
Thailand,2018-07-02,514643,12469,21877,12,1.25,2018,7,2
Thailand,2018-07-02,514643,12469,85049B,12,1.25,2018,7,2
