country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
USA,2018-01-08,494110,12549,21268,3,2.1,2018,1,8
USA,2018-01-08,494110,12549,21412,11,0.42,2018,1,8
USA,2018-01-08,494110,12549,22083,6,2.95,2018,1,8
USA,2018-01-08,494110,12549,22086,6,2.95,2018,1,8
USA,2018-01-08,494110,12549,22084,6,2.95,2018,1,8
USA,2018-01-08,494110,12549,22085,6,2.95,2018,1,8
USA,2018-01-08,494110,12549,21121,20,1.25,2018,1,8
USA,2018-01-08,494110,12549,21122,8,1.25,2018,1,8
USA,2018-01-08,494110,12549,21123,12,1.25,2018,1,8
USA,2018-01-08,494110,12549,21124,19,1.25,2018,1,8
USA,2018-01-08,494110,12549,21354,12,1.25,2018,1,8
USA,2018-01-08,494110,12549,21213,16,0.55,2018,1,8
USA,2018-01-08,494110,12549,84988,12,1.45,2018,1,8
USA,2018-01-08,494110,12549,22138,6,4.95,2018,1,8
USA,2018-01-08,494110,12549,21731,12,1.65,2018,1,8
USA,2018-01-08,494110,12549,22087,6,2.95,2018,1,8
USA,2018-01-08,494110,12549,21439,12,1.25,2018,1,8
USA,2018-01-08,494113,12549,21355,7,1.25,2018,1,8
USA,2018-01-09,494234,12549,POST,1,5.0,2018,1,9
USA,2018-01-16,494891,12733,20972,12,1.25,2018,1,16
USA,2018-01-16,494891,12733,22301,6,2.55,2018,1,16
USA,2018-01-16,494891,12733,22300,6,2.55,2018,1,16
USA,2018-01-16,494891,12733,20971,12,1.25,2018,1,16
USA,2018-01-16,494891,12733,21396,12,1.25,2018,1,16
USA,2018-01-16,494891,12733,85099F,3,1.9500000000000002,2018,1,16
USA,2018-01-16,494891,12733,40018E,4,1.9500000000000002,2018,1,16
USA,2018-01-16,494891,12733,22210,2,1.65,2018,1,16
USA,2018-01-16,494891,12733,22223,2,4.95,2018,1,16
USA,2018-01-16,494891,12733,22147,5,1.45,2018,1,16
USA,2018-01-16,494891,12733,22148,5,1.9500000000000002,2018,1,16
USA,2018-01-16,494891,12733,22356,10,0.85,2018,1,16
USA,2018-01-16,494891,12733,22149,7,2.1,2018,1,16
USA,2018-01-16,494891,12733,22138,6,4.95,2018,1,16
USA,2018-01-16,494891,12733,22146,5,1.9500000000000002,2018,1,16
USA,2018-01-16,494891,12733,21871,6,1.25,2018,1,16
USA,2018-01-16,494891,12733,47591D,8,1.9500000000000002,2018,1,16
USA,2018-01-16,494891,12733,21002,2,4.25,2018,1,16
USA,2018-01-16,494891,12733,22308,6,2.55,2018,1,16
USA,2018-01-16,494891,12733,22309,6,2.55,2018,1,16
USA,2018-01-16,494891,12733,84987,6,1.45,2018,1,16
USA,2018-01-16,494891,12733,84520B,6,0.85,2018,1,16
USA,2018-01-16,494891,12733,84985A,4,1.45,2018,1,16
USA,2018-01-16,494891,12733,22326,1,2.95,2018,1,16
USA,2018-01-16,494891,12733,22122,10,2.95,2018,1,16
USA,2018-01-16,494891,12733,21000,4,4.25,2018,1,16
USA,2018-01-16,494891,12733,21577,5,2.25,2018,1,16
USA,2018-01-16,494891,12733,21004,3,4.25,2018,1,16
USA,2018-01-16,494891,12733,21578,4,2.25,2018,1,16
USA,2018-01-16,494891,12733,22348,10,0.85,2018,1,16
USA,2018-01-16,494891,12733,37485,3,4.65,2018,1,16
USA,2018-01-16,494891,12733,22114,1,3.95,2018,1,16
USA,2018-01-16,494891,12733,21486,2,3.75,2018,1,16
USA,2018-01-16,494891,12733,21124,6,1.25,2018,1,16
USA,2018-01-16,494891,12733,21122,8,1.25,2018,1,16
USA,2018-01-16,494891,12733,21702,8,1.69,2018,1,16
USA,2018-01-16,494891,12733,22125,8,5.95,2018,1,16
USA,2018-01-16,494891,12733,22125,3,5.95,2018,1,16
USA,2018-01-16,494891,12733,22367,1,1.9500000000000002,2018,1,16
USA,2018-01-16,494891,12733,22111,3,4.95,2018,1,16
USA,2018-01-16,494891,12733,84520D,6,0.85,2018,1,16
USA,2018-01-16,494891,12733,22330,5,1.45,2018,1,16
USA,2018-01-16,494891,12733,22261,4,0.85,2018,1,16
USA,2018-01-16,494891,12733,22260,2,0.85,2018,1,16
USA,2018-01-16,494891,12733,22277,10,2.1,2018,1,16
USA,2018-01-16,494891,12733,22260,4,0.85,2018,1,16
USA,2018-01-16,494891,12733,22261,2,0.85,2018,1,16
USA,2018-01-16,494891,12733,22114,5,3.95,2018,1,16
USA,2018-01-16,494891,12733,47580,4,2.55,2018,1,16
USA,2018-01-16,494891,12733,22279,6,2.1,2018,1,16
USA,2018-01-16,494891,12733,22280,6,2.1,2018,1,16
USA,2018-01-16,494891,12733,22278,4,4.95,2018,1,16
USA,2018-01-16,494891,12733,22139,4,4.95,2018,1,16
USA,2018-01-16,494891,12733,22367,5,1.9500000000000002,2018,1,16
USA,2018-01-16,494891,12733,22110,2,3.45,2018,1,16
USA,2018-01-16,494891,12733,22326,4,2.95,2018,1,16
USA,2018-01-16,494891,12733,21485,3,4.95,2018,1,16
USA,2018-01-24,495815,12549,21355,16,1.05,2018,1,24
USA,2018-01-24,495815,12549,21976,4,0.55,2018,1,24
USA,2018-01-24,495815,12549,21213,4,0.55,2018,1,24
USA,2018-01-24,495815,12549,40018E,5,1.9500000000000002,2018,1,24
USA,2018-01-24,495815,12549,22353,6,2.55,2018,1,24
USA,2018-01-24,495815,12549,22352,6,2.55,2018,1,24
USA,2018-01-24,495815,12549,84987,12,1.45,2018,1,24
USA,2018-01-24,495815,12549,84985A,8,1.45,2018,1,24
USA,2018-01-24,495815,12549,21210,10,1.45,2018,1,24
USA,2018-01-24,495815,12549,21973,12,1.45,2018,1,24
USA,2018-01-24,495815,12549,21214,11,1.45,2018,1,24
USA,2018-01-24,495815,12549,84992,3,0.55,2018,1,24
USA,2018-05-08,507793,12549,21976,4,0.55,2018,5,8
USA,2018-05-08,507793,12549,21210,20,1.45,2018,5,8
USA,2018-05-08,507793,12549,21973,7,1.45,2018,5,8
USA,2018-05-08,507793,12549,22416,16,1.45,2018,5,8
USA,2018-05-08,507793,12549,84985A,17,1.45,2018,5,8
USA,2018-05-08,507793,12549,21212,9,0.55,2018,5,8
USA,2018-05-08,507793,12549,22533,1,0.42,2018,5,8
USA,2018-05-08,507793,12549,40018F,5,1.9500000000000002,2018,5,8
USA,2018-05-08,507793,12549,22558,12,1.25,2018,5,8
USA,2018-05-10,508177,12549,22353,12,2.55,2018,5,10
USA,2018-05-10,508177,12549,22352,12,2.55,2018,5,10
USA,2018-05-10,508177,12549,21559,12,2.55,2018,5,10
USA,2018-06-06,511685,12634,22417,20,0.55,2018,6,6
USA,2018-06-06,511685,12634,21213,13,0.55,2018,6,6
USA,2018-06-06,511685,12634,21977,17,0.55,2018,6,6
USA,2018-06-06,511685,12634,21975,18,0.55,2018,6,6
USA,2018-06-06,511685,12634,21791,12,1.25,2018,6,6
USA,2018-06-06,511685,12634,21124,15,1.25,2018,6,6
USA,2018-06-06,511685,12634,21211,12,1.45,2018,6,6
USA,2018-06-06,511685,12634,22353,6,2.55,2018,6,6
USA,2018-06-06,511685,12634,22352,6,2.55,2018,6,6
USA,2018-06-06,511685,12634,21558,6,2.55,2018,6,6
USA,2018-06-06,511685,12634,21559,6,2.55,2018,6,6
USA,2018-06-06,511685,12634,84987,12,1.45,2018,6,6
USA,2018-06-06,511685,12634,21973,12,1.45,2018,6,6
USA,2018-06-06,511685,12634,21210,12,1.45,2018,6,6
USA,2018-06-06,511685,12634,84992,5,0.55,2018,6,6
USA,2018-06-21,513468,12741,22083,6,2.95,2018,6,21
USA,2018-06-21,513468,12741,22090,6,2.95,2018,6,21
USA,2018-06-21,513468,12741,47504E,12,1.25,2018,6,21
USA,2018-06-21,513468,12741,21124,11,1.25,2018,6,21
USA,2018-06-21,513468,12741,22558,12,1.25,2018,6,21
USA,2018-06-21,513468,12741,20752,6,2.1,2018,6,21
USA,2018-06-21,513468,12741,21533,3,4.95,2018,6,21
USA,2018-06-21,513468,12741,21122,10,1.25,2018,6,21
USA,2018-06-21,513468,12741,21439,12,1.25,2018,6,21
USA,2018-06-21,513468,12741,21403,7,0.42,2018,6,21
USA,2018-06-21,513468,12741,21402,12,0.42,2018,6,21
USA,2018-06-21,513468,12741,21401,6,0.42,2018,6,21
USA,2018-06-21,513468,12741,21400,5,0.42,2018,6,21
USA,2018-06-21,513468,12741,21535,6,2.55,2018,6,21
USA,2018-06-21,513468,12741,20754,6,2.1,2018,6,21
USA,2018-07-27,517673,12733,22587,12,0.85,2018,7,27
USA,2018-07-27,517673,12733,22091,1,1.25,2018,7,27
USA,2018-07-27,517673,12733,21577,6,2.25,2018,7,27
USA,2018-07-27,517673,12733,47591D,8,1.9500000000000002,2018,7,27
USA,2018-07-27,517673,12733,21156,6,1.9500000000000002,2018,7,27
USA,2018-07-27,517673,12733,22611,6,4.95,2018,7,27
USA,2018-07-27,517673,12733,22612,4,3.75,2018,7,27
USA,2018-07-27,517673,12733,22149,8,2.1,2018,7,27
USA,2018-07-27,517673,12733,47590B,6,5.45,2018,7,27
USA,2018-07-27,517673,12733,22147,8,1.45,2018,7,27
USA,2018-07-27,517673,12733,20971,10,1.25,2018,7,27
USA,2018-07-27,517673,12733,22659,6,1.9500000000000002,2018,7,27
USA,2018-07-27,517673,12733,21210,1,1.45,2018,7,27
USA,2018-07-27,517673,12733,84987,1,1.45,2018,7,27
USA,2018-07-27,517673,12733,22384,8,1.65,2018,7,27
USA,2018-07-27,517673,12733,M,1,0.85,2018,7,27
USA,2018-07-27,517673,12733,37502,2,2.95,2018,7,27
USA,2018-07-27,517673,12733,84997C,6,3.75,2018,7,27
USA,2018-07-27,517673,12733,84997D,6,3.75,2018,7,27
USA,2018-10-09,526668,12467,22738,10,1.65,2018,10,9
USA,2018-10-09,526668,12467,22666,6,2.95,2018,10,9
USA,2018-10-09,526668,12467,22372,4,4.25,2018,10,9
USA,2018-10-09,526668,12467,22709,5,0.42,2018,10,9
USA,2018-10-09,526668,12467,22710,2,0.42,2018,10,9
USA,2018-10-09,526668,12467,22736,10,1.65,2018,10,9
USA,2018-10-09,526668,12467,21491,12,1.9500000000000002,2018,10,9
USA,2018-10-09,526668,12467,22909,12,0.85,2018,10,9
USA,2018-11-12,532985,12733,22910,1,2.95,2018,11,12
USA,2018-11-12,532985,12733,84987,3,1.45,2018,11,12
USA,2018-11-12,532985,12733,22904,4,2.95,2018,11,12
USA,2018-11-12,532985,12733,85232D,2,4.95,2018,11,12
USA,2018-11-12,532985,12733,22358,2,2.95,2018,11,12
USA,2018-11-12,532985,12733,21973,3,1.45,2018,11,12
USA,2018-11-12,532985,12733,22358,1,2.95,2018,11,12
USA,2018-11-12,532985,12733,85199S,5,0.42,2018,11,12
USA,2018-11-12,532985,12733,22348,6,0.85,2018,11,12
USA,2018-11-12,532985,12733,20972,6,1.25,2018,11,12
USA,2018-11-12,532985,12733,20971,2,1.25,2018,11,12
USA,2018-11-12,532985,12733,84926F,6,1.25,2018,11,12
USA,2018-11-12,532985,12733,22554,6,1.65,2018,11,12
USA,2018-11-12,532985,12733,22557,6,1.65,2018,11,12
USA,2018-11-12,532985,12733,22556,6,1.65,2018,11,12
USA,2018-11-12,532985,12733,22734,6,2.55,2018,11,12
USA,2018-11-12,532985,12733,21867,4,1.25,2018,11,12
USA,2018-11-12,532985,12733,22243,3,1.65,2018,11,12
USA,2018-11-12,532985,12733,22242,4,1.65,2018,11,12
USA,2018-11-12,532985,12733,22467,1,2.55,2018,11,12
USA,2018-11-12,532985,12733,21576,4,2.25,2018,11,12
USA,2018-11-12,532985,12733,84030E,2,4.25,2018,11,12
USA,2018-11-12,532985,12733,22114,4,3.95,2018,11,12
USA,2018-11-12,532985,12733,22951,6,0.55,2018,11,12
USA,2018-11-12,532985,12733,22900,4,2.95,2018,11,12
USA,2018-11-12,532985,12733,22911,1,2.95,2018,11,12
USA,2018-11-12,532985,12733,22086,1,2.95,2018,11,12
USA,2018-11-12,532985,12733,22907,6,0.85,2018,11,12
USA,2018-11-12,532985,12733,22128,4,1.25,2018,11,12
USA,2018-11-12,532985,12733,22130,19,0.85,2018,11,12
USA,2018-11-12,532985,12733,35809A,3,2.1,2018,11,12
USA,2018-11-12,532985,12733,85199L,8,0.65,2018,11,12
USA,2018-11-12,532985,12733,22652,8,1.65,2018,11,12
USA,2018-11-12,532985,12733,22110,3,2.55,2018,11,12
USA,2018-11-12,532985,12733,21484,2,3.45,2018,11,12
USA,2018-11-15,533774,12467,22709,1,0.42,2018,11,15
USA,2018-11-15,533774,12467,22909,1,0.85,2018,11,15
USA,2018-11-15,533774,12467,22372,1,4.25,2018,11,15
USA,2018-11-15,533774,12467,21491,3,1.9500000000000002,2018,11,15
USA,2018-11-15,533774,12467,22959,1,0.42,2018,11,15
USA,2018-11-15,533774,12467,22710,1,0.42,2018,11,15
USA,2018-11-15,533774,12467,22666,3,2.95,2018,11,15
USA,2018-11-15,533774,12467,22738,4,1.65,2018,11,15
USA,2019-04-16,550644,12733,37500,4,4.95,2019,4,16
