country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
United Arab Emirates,2017-12-07,491369,12979,22093,3,1.06,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,72800D,1,2.55,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,20670,2,2.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,20662,2,2.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,20663,2,2.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,84828,1,1.25,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22312,1,4.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22311,3,4.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,20861,2,2.1,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,21741,2,2.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,21945,12,0.85,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,21943,12,0.85,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,21944,5,0.85,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,85226A,1,0.55,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22093,10,1.06,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,84569A,12,1.25,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,72800B,1,2.55,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,72799D,1,2.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,35911A,1,2.1,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,35914,1,2.1,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,20862,2,2.1,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,20864,2,2.1,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,21051,4,2.1,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,84569B,12,1.25,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,20622,2,2.1,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,20617,2,2.1,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,72799B,1,2.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22231,1,1.45,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22233,1,1.65,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22229,1,0.85,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22125,1,5.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22114,1,3.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,20618,2,2.1,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,84569C,12,1.25,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22029,12,0.42,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,72741,9,1.45,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,72756,9,1.49,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,84826,15,0.85,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,11001,12,1.69,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,21789,1,0.85,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,84569D,12,1.25,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,21004,2,4.25,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,21740,3,2.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,21785,3,0.85,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,21291,12,0.85,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,21829,4,0.21,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22028,12,0.42,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,16051,2,0.42,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22139,1,4.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,47504G,1,1.25,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22138,1,4.95,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,85072,22,0.55,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,20726,2,1.65,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,22036,12,0.42,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,21506,12,0.42,2017,12,7
United Arab Emirates,2017-12-07,491340,12979,20689,1,5.95,2017,12,7
United Arab Emirates,2018-02-05,497255,,21717,8,2.55,2018,2,5
United Arab Emirates,2018-02-05,497268,,85186C,2,0.42,2018,2,5
United Arab Emirates,2018-02-05,497268,,21733,4,2.95,2018,2,5
United Arab Emirates,2018-02-05,497268,,21985,3,0.29,2018,2,5
United Arab Emirates,2018-02-05,497268,,21355,2,1.25,2018,2,5
United Arab Emirates,2018-02-05,497268,,21390,3,1.25,2018,2,5
United Arab Emirates,2018-02-05,497268,,85123A,4,2.95,2018,2,5
United Arab Emirates,2018-02-05,497268,,22294,4,1.25,2018,2,5
United Arab Emirates,2018-02-05,497268,,21746,1,1.25,2018,2,5
United Arab Emirates,2018-02-05,497268,,20981,3,0.85,2018,2,5
United Arab Emirates,2018-02-05,497268,,20979,3,1.25,2018,2,5
United Arab Emirates,2018-02-05,497268,,20982,4,0.85,2018,2,5
United Arab Emirates,2018-02-05,497268,,85188B,3,0.85,2018,2,5
United Arab Emirates,2018-02-05,497268,,85189,2,0.85,2018,2,5
United Arab Emirates,2018-02-05,497268,,22241,3,1.25,2018,2,5
United Arab Emirates,2018-02-05,497268,,22148,4,1.9500000000000002,2018,2,5
United Arab Emirates,2018-02-05,497268,,21717,4,2.55,2018,2,5
United Arab Emirates,2018-02-05,497268,,85206B,1,1.65,2018,2,5
United Arab Emirates,2018-02-05,497268,,85196,1,0.55,2018,2,5
United Arab Emirates,2018-02-05,497268,,21454,4,0.85,2018,2,5
United Arab Emirates,2018-02-05,497268,,22229,3,0.85,2018,2,5
United Arab Emirates,2018-02-05,497268,,85200,4,1.25,2018,2,5
United Arab Emirates,2018-02-05,497268,,22228,3,0.85,2018,2,5
United Arab Emirates,2018-02-05,497268,,22146,1,1.9500000000000002,2018,2,5
United Arab Emirates,2018-02-05,497268,,22021,3,1.65,2018,2,5
United Arab Emirates,2018-02-05,497271,,21717,8,2.55,2018,2,5
United Arab Emirates,2018-02-05,497271,,22021,12,1.65,2018,2,5
United Arab Emirates,2018-02-05,497271,,22292,18,1.45,2018,2,5
United Arab Emirates,2018-02-05,497271,,20982,12,0.85,2018,2,5
United Arab Emirates,2018-02-05,497271,,20979,21,1.25,2018,2,5
United Arab Emirates,2018-02-05,497271,,21542,12,0.85,2018,2,5
United Arab Emirates,2018-02-05,497271,,20981,3,0.85,2018,2,5
United Arab Emirates,2018-02-05,497271,,21749,12,2.1,2018,2,5
United Arab Emirates,2018-02-05,497271,,21454,12,0.85,2018,2,5
United Arab Emirates,2018-02-05,497271,,22229,12,0.85,2018,2,5
United Arab Emirates,2018-02-05,497271,,85200,12,1.25,2018,2,5
United Arab Emirates,2018-02-05,497271,,22228,12,0.85,2018,2,5
United Arab Emirates,2018-02-05,497271,,21383,20,0.65,2018,2,5
United Arab Emirates,2018-02-05,497271,,22146,6,1.9500000000000002,2018,2,5
United Arab Emirates,2018-02-05,497271,,22148,12,1.9500000000000002,2018,2,5
United Arab Emirates,2018-02-05,497271,,22241,12,1.25,2018,2,5
United Arab Emirates,2018-02-05,497271,,85196,12,0.55,2018,2,5
United Arab Emirates,2018-02-05,497271,,85189,19,0.85,2018,2,5
United Arab Emirates,2018-02-05,497271,,85186C,15,0.42,2018,2,5
United Arab Emirates,2018-02-05,497271,,21733,6,2.95,2018,2,5
United Arab Emirates,2018-02-05,497271,,21985,21,0.29,2018,2,5
United Arab Emirates,2018-02-05,497271,,21355,12,1.25,2018,2,5
United Arab Emirates,2018-02-05,497271,,21390,20,1.25,2018,2,5
United Arab Emirates,2018-02-05,497271,,85123A,6,2.95,2018,2,5
United Arab Emirates,2018-02-05,497271,,22294,19,1.25,2018,2,5
United Arab Emirates,2018-02-05,497271,,85188B,23,0.85,2018,2,5
