,date,previous_30_days_views,previous_year_revenue,previous_7_days_revenue,previous_14_days_revenue,previous_28_days_revenue,previous_70_days_revenue,revenue,target_next_30_days_revenue
0,2017-11-29,10800.0,0.0,7652.7300000000005,7652.7300000000005,7652.7300000000005,7652.7300000000005,8011.37,101713.79000000001
1,2017-11-30,11033.5,0.0,15664.1,15664.1,15664.1,15664.1,7225.76,93702.42000000001
2,2017-12-01,11717.666666666666,0.0,22889.86,22889.86,22889.86,22889.86,5946.7300000000005,86476.66
3,2017-12-02,11255.25,0.0,28836.59,28836.59,28836.59,28836.59,1014.26,80529.93000000001
4,2017-12-03,9535.2,0.0,29850.850000000002,29850.850000000002,29850.850000000002,29850.850000000002,4739.38,80949.45
5,2017-12-04,9172.833333333334,0.0,34590.23,34590.23,34590.23,34590.23,7057.27,78347.52
6,2017-12-05,9238.142857142857,0.0,41647.5,41647.5,41647.5,41647.5,5755.86,72020.87999999999
7,2017-12-06,9352.375,0.0,39750.63,47403.36,47403.36,47403.36,6461.150000000001,68305.37000000001
8,2017-12-07,9245.666666666666,0.0,38200.41,53864.51,53864.51,53864.51,6090.67,63236.04999999999
9,2017-12-08,9259.5,0.0,37065.32,59955.18,59955.18,59955.18,3709.93,57145.38
10,2017-12-09,8983.818181818182,0.0,34828.520000000004,63665.11,63665.11,63665.11,0.0,55006.469999999994
11,2017-12-10,8235.166666666666,0.0,33814.26,63665.11,63665.11,63665.11,3784.76,61472.56
12,2017-12-11,8093.7692307692305,0.0,32859.64,67449.87,67449.87,67449.87,10076.32,59972.72999999999
13,2017-12-12,8382.57142857143,0.0,35878.69,77526.19,77526.19,77526.19,4671.68,53872.85
14,2017-12-13,8363.466666666667,0.0,34794.51,74545.14000000001,82197.87,82197.87,8330.52,54893.86000000001
15,2017-12-14,8537.4375,0.0,36663.880000000005,74864.29,90528.39,90528.39,4658.75,47992.94
16,2017-12-15,8493.35294117647,0.0,35231.96000000001,72297.28,95187.14,95187.14,4902.54,43334.19
17,2017-12-16,8332.5,0.0,36424.57,71253.09000000001,100089.68000000001,100089.68000000001,0.0,40926.56
18,2017-12-17,7893.9473684210525,0.0,36424.57,70238.83,100089.68000000001,100089.68000000001,1486.23,45818.189999999995
19,2017-12-18,7647.85,0.0,34126.04,66985.68,101575.91,101575.91,1559.68,48160.171
20,2017-12-19,7390.571428571428,0.0,25609.4,61488.090000000004,103135.59,103135.59,5387.18,49510.901
21,2017-12-20,7194.5,0.0,26324.9,61119.41,108522.77,108522.77,843.75,46743.751000000004
22,2017-12-21,6919.695652173913,0.0,18838.13,55502.01,109366.52,109366.52,0.0,48786.541000000005
23,2017-12-22,6631.375,0.0,14179.380000000001,49411.340000000004,109366.52,109366.52,0.0,48786.541000000005
24,2017-12-23,6366.12,0.0,9276.84,45701.41,109366.52,109366.52,0.0,51932.961
25,2017-12-24,6121.2692307692305,0.0,9276.84,45701.41,109366.52,109366.52,0.0,56203.101
26,2017-12-25,5894.555555555556,0.0,7790.61,41916.65,109366.52,109366.52,0.0,59491.681
27,2017-12-26,5684.035714285715,0.0,6230.93,31840.33,109366.52,109366.52,0.0,63032.401000000005
28,2017-12-27,5488.0344827586205,0.0,843.75,27168.65,101713.79000000001,109366.52,0.0,65727.241
29,2017-12-28,5305.1,0.0,0.0,18838.13,93702.42,109366.52,0.0,68744.01199999999
30,2017-12-29,4945.1,0.0,0.0,14179.380000000001,86476.66,109366.52,0.0,68744.01199999999
31,2017-12-30,4569.533333333334,0.0,0.0,9276.84,80529.93000000001,109366.52,0.0,71550.452
32,2017-12-31,4133.333333333333,0.0,0.0,9276.84,79515.67,109366.52,0.0,74834.003
33,2018-01-01,3804.4,0.0,0.0,7790.61,74776.29000000001,109366.52,1433.78,77077.01299999999
34,2018-01-02,3794.733333333333,0.0,1433.78,7664.71,69152.8,110800.3,2137.45,79172.02399999999
35,2018-01-03,3696.4333333333334,0.0,3571.2299999999996,4414.98,65534.39,112937.75,730.63,80417.77399999999
36,2018-01-04,3429.4333333333334,0.0,4301.86,4301.86,59803.87,113668.38,2040.3500000000001,81995.044
37,2018-01-05,3260.133333333333,0.0,6342.209999999999,6342.209999999999,55753.55,115708.73,1391.83,79954.69399999999
38,2018-01-06,3085.266666666667,0.0,7734.039999999999,7734.039999999999,53435.450000000004,117100.56,0.0,80278.59399999997
