,date,previous_30_days_views,previous_year_revenue,previous_7_days_revenue,previous_14_days_revenue,previous_28_days_revenue,previous_70_days_revenue,revenue,target_next_30_days_revenue
0,2017-11-29,12862.0,0.0,8295.27,8295.27,8295.27,8295.27,8114.47,106833.53
1,2017-11-30,12298.0,0.0,16409.74,16409.74,16409.74,16409.74,7475.71,98719.06
2,2017-12-01,12732.0,0.0,23885.45,23885.45,23885.45,23885.45,6198.74,91243.35
3,2017-12-02,12209.75,0.0,30084.190000000002,30084.190000000002,30084.190000000002,30084.190000000002,1127.65,85044.61
4,2017-12-03,10335.4,0.0,31211.84,31211.84,31211.84,31211.84,4837.41,85358.33
5,2017-12-04,9909.5,0.0,36049.25,36049.25,36049.25,36049.25,7556.78,82658.37
6,2017-12-05,10081.142857142857,0.0,43606.03,43606.03,43606.03,43606.03,6099.25,75832.22
7,2017-12-06,10170.5,0.0,41410.009999999995,49705.28,49705.28,49705.28,6544.900000000001,72232.05
8,2017-12-07,10014.333333333334,0.0,39840.44,56250.18,56250.18,56250.18,6321.39,67465.84000000001
9,2017-12-08,9992.2,0.0,38686.12,62571.57,62571.57,62571.57,3729.48,61144.450000000004
10,2017-12-09,9651.454545454546,0.0,36216.86,66301.05,66301.05,66301.05,0.0,59056.74
11,2017-12-10,8847.166666666666,0.0,35089.21,66301.05,66301.05,66301.05,3978.33,65673.03
12,2017-12-11,8721.153846153846,0.0,34230.13,70279.38,70279.38,70279.38,10677.26,64168.280000000006
13,2017-12-12,9115.714285714286,0.0,37350.61,80956.64,80956.64,80956.64,5004.04,57626.98
14,2017-12-13,9099.266666666666,0.0,36255.4,77665.41,85960.68000000001,85960.68000000001,8549.460000000001,58500.77
15,2017-12-14,9262.8125,0.0,38259.96000000001,78100.4,94510.14,94510.14,4710.09,51636.95
16,2017-12-15,9185.176470588236,0.0,36648.66,75334.78,99220.23000000001,99220.23000000001,5921.3,46926.86
17,2017-12-16,9116.388888888889,0.0,38840.48,75057.34,105141.53,105141.53,0.0,43500.47
18,2017-12-17,8636.578947368422,0.0,38840.48,73929.69,105141.53,105141.53,1588.76,48536.8
19,2017-12-18,8384.5,0.0,36450.91,70681.04000000001,106730.29000000001,106730.29000000001,1708.05,51310.460999999996
20,2017-12-19,8125.523809523809,0.0,27481.700000000004,64832.310000000005,108438.34,108438.34,5424.84,52533.191000000006
21,2017-12-20,7903.136363636364,0.0,27902.500000000004,64157.90000000001,113863.18000000001,113863.18000000001,1265.6200000000001,50104.651000000005
22,2017-12-21,7674.173913043478,0.0,20618.66,58878.62,115128.8,115128.8,0.0,52477.661
23,2017-12-22,7354.416666666667,0.0,15908.570000000002,52557.23,115128.8,115128.8,0.0,52477.661
24,2017-12-23,7060.24,0.0,9987.27,48827.75,115128.8,115128.8,0.0,55689.251000000004
25,2017-12-24,6788.692307692308,0.0,9987.27,48827.75,115128.8,115128.8,0.0,60094.141
26,2017-12-25,6537.259259259259,0.0,8398.510000000002,44849.420000000006,115128.8,115128.8,0.0,63735.231
27,2017-12-26,6303.785714285715,0.0,6690.46,34172.16,115128.8,115128.8,0.0,67510.171
28,2017-12-27,6086.413793103448,0.0,1265.6200000000001,29168.120000000003,106833.53,115128.8,0.0,70370.48099999999
29,2017-12-28,5883.533333333334,0.0,0.0,20618.66,98719.06,115128.8,0.0,73388.502
30,2017-12-29,5454.8,0.0,0.0,15908.570000000002,91243.35,115128.8,0.0,73388.502
31,2017-12-30,5063.666666666667,0.0,0.0,9987.27,85044.61,115128.8,0.0,76511.23199999999
32,2017-12-31,4610.333333333333,0.0,0.0,9987.27,83916.96,115128.8,0.0,80113.89299999998
33,2018-01-01,4255.566666666667,0.0,0.0,8398.510000000002,79079.55,115128.8,1441.3700000000001,82726.08299999998
34,2018-01-02,4240.033333333334,0.0,1441.3700000000001,8131.83,72964.14,116570.17,2137.45,84993.50399999999
35,2018-01-03,4127.766666666666,0.0,3578.8199999999997,4844.4400000000005,69002.34000000001,118707.62000000001,730.63,86303.834
36,2018-01-04,3811.4,0.0,4309.45,4309.45,63188.07000000001,119438.25,2499.08,87999.934
37,2018-01-05,3697.233333333333,0.0,6808.53,6808.530000000001,59365.76,121937.33,1778.69,85500.854
38,2018-01-06,3562.5666666666666,0.0,8587.22,8587.220000000001,57414.97,123716.02,0.0,85637.37400000001
39,2018-01-07,3236.133333333333,0.0,8587.22,8587.220000000001,57414.97,123716.02,1641.77,88911.91399999999
40,2018-01-08,3150.4333333333334,0.0,10228.99,10228.99,55078.41,125357.79000000001,6616.29,89624.174
41,2018-01-09,3392.7,0.0,15403.91,16845.28,51017.44,131974.08000000002,2473.58,85403.33399999999
42,2018-01-10,3304.9333333333334,0.0,15740.04,19318.86,48486.98,134447.66,4135.96,85018.474
43,2018-01-11,2992.0666666666666,0.0,19145.370000000003,23454.82,44073.48,138583.62,5877.83,82808.044
44,2018-01-12,2980.2,0.0,22524.12,29332.65,45241.22,144461.45,1685.64,76930.21399999999
45,2018-01-13,2719.133333333333,0.0,22431.07,31018.29,41005.56,146147.09,0.0,77996.05399999999
46,2018-01-14,2454.366666666667,0.0,22431.07,31018.29,41005.56,146147.09,2494.91,80028.625
47,2018-01-15,2352.5666666666666,0.0,23284.21,33513.2,41911.71000000001,148642.0,5036.33,82388.72499999999
48,2018-01-16,2538.8333333333335,0.0,21704.25,37108.16,45239.99,153678.33000000002,4362.421,79966.70499999999
49,2018-01-17,2674.4,0.0,23593.091,39333.130999999994,44177.570999999996,158040.751,2930.78,78721.89399999999
50,2018-01-18,2726.0333333333333,0.0,22387.911000000004,41533.281,45842.731,160971.53100000002,2996.3,80249.504
51,2018-01-19,2837.733333333333,0.0,19506.381,42030.501,48839.031,163967.831,3638.63,77253.20400000001
52,2018-01-20,2991.0,0.0,21459.371000000003,43890.441000000006,52477.661,167606.461,0.0,76298.395
53,2018-01-21,2991.0,0.0,21459.371000000003,43890.441000000006,52477.661,167606.461,3211.59,79043.71500000001
54,2018-01-22,3171.233333333333,0.0,22176.051000000003,45460.261,55689.251000000004,170818.051,4404.89,78595.805
55,2018-01-23,3404.8,0.0,21544.611,43248.861,60094.141,175222.941,3641.09,77646.066
56,2018-01-24,3642.8,0.0,20823.280000000002,44416.37100000001,63735.231,178864.03100000002,3774.94,77681.476
57,2018-01-25,3853.8333333333335,0.0,21667.44,44055.350999999995,67510.171,182638.971,2860.31,76492.45700000001
58,2018-01-26,4083.633333333333,0.0,21531.45,41037.831000000006,70370.481,185499.28100000002,3018.021,73632.14700000001
59,2018-01-27,4259.8,0.0,20910.841,42370.21200000001,73388.50200000001,188517.302,0.0,73644.94600000001
60,2018-01-28,4259.8,0.0,20910.841,42370.21200000001,73388.50200000001,188517.302,3122.73,76399.926
61,2018-01-29,4481.333333333333,0.0,20821.981,42998.032,76511.232,191640.032,3602.661,77186.93600000002
62,2018-01-30,4668.366666666667,0.0,20019.752,41564.363,78672.523,195242.693,2612.19,77703.74500000001
63,2018-01-31,4872.166666666667,0.0,18990.852,39814.132,79147.26299999999,197854.883,3708.791,79562.49500000001
64,2018-02-01,4988.5,0.0,18924.703,40592.143,82125.424,201563.674,3447.78,71382.76400000001
65,2018-02-02,5074.666666666667,0.0,19512.173000000003,41043.62300000001,83074.12400000001,205011.454,2426.73,72405.924
66,2018-02-03,5172.866666666667,0.0,18920.882,39831.723,83722.164,207438.184,0.0,73085.52399999999
67,2018-02-04,4927.166666666667,0.0,18920.882,39831.723,83722.164,207438.184,1915.21,73085.524
68,2018-02-05,4881.566666666667,0.0,17713.362,38535.343,83995.60399999999,209353.394,3274.54,75307.534
